#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5717.478533109747    All      0.8170664445322512        0.22607446783755591       -0.37806022736653344      -0.2093766214475278        
Zeropoint     AB|PS|PS_i                6925.104776235349    All      0.8886871508304546        -0.14551725503597623      0.17750078016782136       -0.3289533547177327        
Zeropoint     AB|PS|PS_z                7958.63516072539     All      0.3360987856826536        -0.05723358774343268      0.1394376675790795        -0.12189883158558712       
Zeropoint     AB|PS|PS_g                4502.192258707719    All      -1.0434450294125366       0.975231938743093         0.06234739088626381       0.6603317787319375         
Check         All|All|All               All                  All      0.9984073516328225        0.99855556380124          0.0012256112666312255     0.00010297098108991154     
Lambda        AB|PS|PS_r                5717.478533109747    All      -8.339659282392129e-05    -9.387660113175258e-05    -0.0005316461032911991    -2.7138607315545798e-05    
Lambda        AB|PS|PS_i                6925.104776235349    All      -0.0006574146554431052    -4.997366658220954e-05    -0.001086873452655836     0.00014936134392411928     
Lambda        AB|PS|PS_z                7958.63516072539     All      -0.0002145406934660231    7.689261202964384e-05     0.0001242458202981446     0.00010047393579039504     
Lambda        AB|PS|PS_g                4502.192258707719    All      -0.0004807208639650142    0.0002474358796336475     -0.0006661673264721277    0.00020745661885080788     
MWEBV         All|All|All               All                  All      -0.6275262216139001       -3.7429390765593595       0.02484083230191354       -1.0136839286384682        
Redshift      All|All|All               All                  All      3.9568819741214862        1.1221219066179344        2.290963409030401         -0.8211394398913312        
