#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5717.478533109747    All      0.7753412160865754         0.21471822037728572       -0.45149688565291335      -0.20276158600773253      
Zeropoint     AB|PS|PS_i                6925.104776235349    All      0.9175447549132588         -0.15821326659803958      0.17406953909104295       -0.34264185493675103      
Zeropoint     AB|PS|PS_z                7958.63516072539     All      0.3678270867387368         -0.06648266619038168      0.1613323030254521        -0.13426945518391908      
Zeropoint     AB|PS|PS_g                4502.192258707719    All      -1.0612218480724331        1.0082520086776015        0.11780964090686852       0.6793530220046501        
Check         All|All|All               All                  All      0.9994912096661379         0.9982742962664659        0.0017145973704502104     -0.0003198741237525615    
Lambda        AB|PS|PS_r                5717.478533109747    All      -1.1464062026911369e-05    -9.42962420252301e-05     -0.00057045171295578      -5.243780608249531e-05    
Lambda        AB|PS|PS_i                6925.104776235349    All      -0.0006830588692514928     -5.40492922955533e-05     -0.0012352343531493867    0.0001497662770600891     
Lambda        AB|PS|PS_z                7958.63516072539     All      -0.00018471365564940085    8.044144467039279e-05     0.0001845113832824522     9.460363512361225e-05     
Lambda        AB|PS|PS_g                4502.192258707719    All      -0.0005166584291603127     0.00029035155175960827    -0.0006344443314218382    0.00023455736401144274    
MWEBV         All|All|All               All                  All      -0.6287284638003521        -3.7435115925923412       0.029411925146527462      -1.0132748192335228       
Redshift      All|All|All               All                  All      4.020859572670305          0.8222975362894402        2.444608239932866         -0.9327852467459485       
