#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.2975219871935306        0.4394848370675497         0.18261935848805955        0.24821683269509592       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      1.1044952826014494         -0.02897802143317918       -0.02063893656917698       -0.37013056623602797      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.5700456550125808         0.22630484301071618        -0.025895792329871936      -0.113123301482429        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.5115588132985741        0.3025192360423645         -0.16825967119590696       0.2576633467058956        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.25603613297064787       0.09828490448455796        -0.022959383595353225      0.11438944687382491       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      0.3852289363438284         -0.03945402345539861       0.055040540808396626       -0.13587700511676765      
Check         All|All|All                              All                   All      0.9946529404951059         0.9981617757166106         -9.388439385292491e-05     0.0011387534395917998     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.00010933875601560884    -7.448734912879187e-05     -0.0008197257275028518     -2.522834455409568e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      -0.00011252200185049422    -3.423886238310803e-05     -0.0004384677906292948     5.932590277254984e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.00019543679484900845     2.3367072117737907e-05     -0.0007701646260831835     -9.04176796432139e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.00032101820447052895    9.377332290991125e-05      -0.0005588198427237962     0.00011017368368966779    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.0004510803606017023     0.00011852990344470456     -0.00022731909961585682    0.00017539659524398518    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      -5.9642565940400754e-05    -1.0818523212056597e-05    -0.00016912465458866841    8.35634040706729e-06      
MWEBV         All|All|All                              All                   All      -1.0193108892951077        -3.8994293036267003        -0.005439530034806808      -0.9383920618717789       
Redshift      All|All|All                              All                   All      5.5522017475330365         1.119967213267259          8.38343660284995           -1.069610332141803        
