#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.2957484387043886        0.4367911021335047         0.14742735857722247        0.24519123418989341       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      1.1203093072132209         -0.028987602359453746      0.016097217396280304       -0.37364546931250303      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.5559368979930686         0.22677516469880032        -0.023851403348693085      -0.108283184219231        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.5123987691742373        0.3041595585780321         -0.18352250957201546       0.25779014460615746       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.2542167584690986        0.09719956444165234        -0.03527645677391659       0.11289363137873759       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      0.38046973704164533        -0.03782724565368767       0.07960869745924676        -0.13270051828775772      
Check         All|All|All                              All                   All      0.9943519759002102         0.9981105418388481         0.0004829037381244017      0.0012458383552967078     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.00013821369552706448    -3.0443923839918607e-05    -0.0007657143671504887     9.338447516380843e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      -6.290616249867817e-05     -3.6152251841180616e-05    -0.00045780741050963005    -1.171521321899732e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.0002255875114033226      3.919205219926748e-05      -0.0007373164608981895     -9.361818056909026e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.0003556020825943335     0.00011896439105969954     -0.0005466473510801754     0.00013018755262412022    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.00047380935620570605    0.0001386519305046521      -0.00019179298198983185    0.00019093995054649877    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      -4.3245487425294595e-05    -1.315799032587358e-05     -0.00017146737781463889    2.148686103848693e-06     
MWEBV         All|All|All                              All                   All      -1.0148263572583636        -3.90022545794384          -0.010208988600176713      -0.9403249941771012       
Redshift      All|All|All                              All                   All      5.523407188507587          0.7516889045969144         8.364397430566             -1.1810409889000426       
