#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3691.7570796657847    All      -0.5676483832778438        0.3571357543968645        0.3894183382157079         0.3186105700359154        
Zeropoint     AB|PS|PS_z                6526.009110841135     All      0.9910758234972646         0.03561215040353005       1.1619586222575418         -0.2593730755193653       
Zeropoint     AB|PS|PS_i                5678.523509440807     All      0.7639797211603694         0.08863069363123088       -1.6201760588704262        -0.2922844128971945       
Zeropoint     AB|PS|PS_r                4688.280872861621     All      -0.1932051244712102        0.5172167888478185        0.06852526029756945        0.23446575699667613       
Check         All|All|All               All                   All      0.9942020369085802         0.998595387279444         -0.00027383809960701555    0.0014188386160317867     
Lambda        AB|PS|PS_g                3691.7570796657847    All      -0.0009005570696985318     0.0005094807815387551     0.0003366957674766362      0.0004743209027301584     
Lambda        AB|PS|PS_z                6526.009110841135     All      -0.00047364798818993055    -2.260092533948515e-05    -0.000679297449170767      0.00011660694212184049    
Lambda        AB|PS|PS_i                5678.523509440807     All      -0.0002607247211729179     -1.499835168664976e-05    0.00026793222528064036     9.199774734518433e-05     
Lambda        AB|PS|PS_r                4688.280872861621     All      -0.0001562108760310867     -0.0001130665234114717    -0.0013100931484281147     -4.440990511890447e-05    
MWEBV         All|All|All               All                   All      -0.4613142658924101        -2.796891200253704        0.042135919945485156       -0.7588939131364048       
Redshift      All|All|All               All                   All      5.148767811852423          0.6289344423532128        0.48595790301849684        -1.4505723572591778       
