#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3691.7570796657847    All      -0.5534321793926593        0.3538358964943811         0.32845839866255166       0.31018465032697395        
Zeropoint     AB|PS|PS_z                6526.009110841135     All      1.1218818333328313         0.0395394278498884         1.4290648819286658        -0.28878192725039603       
Zeropoint     AB|PS|PS_i                5678.523509440807     All      0.66830109868735           0.08999622146497188        -1.6648732190192943       -0.2626685694553816        
Zeropoint     AB|PS|PS_r                4688.280872861621     All      -0.2421818322801229        0.5157072480642455         -0.08887805760554847      0.24290318776951408        
Check         All|All|All               All                   All      0.9945689203473992         0.9990787938734869         0.003772003966374546      0.0016373413907104228      
Lambda        AB|PS|PS_g                3691.7570796657847    All      -0.0009720940848249454     0.0005826574022305723      0.000390114428380342      0.0005238427243464575      
Lambda        AB|PS|PS_z                6526.009110841135     All      -0.00045419853286713383    -3.0633257868685304e-05    -0.0008397786689736736    0.00010049367991825904     
Lambda        AB|PS|PS_i                5678.523509440807     All      -0.00023309244358127722    -3.890101385029772e-05     0.00013361729456751645    6.921726354616589e-05      
Lambda        AB|PS|PS_r                4688.280872861621     All      -0.00017160635459950962    -8.289158781731501e-05     -0.001168602849675933     -2.3252059812185085e-05    
MWEBV         All|All|All               All                   All      -0.4582088079968032        -2.801104892187567         0.02121232295552803       -0.762211725063797         
Redshift      All|All|All               All                   All      4.642043049525886          0.2278651010197308         -1.0231149852551684       -1.4834999027642064        
