#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3868.0806729742376    All      -0.762304599222741        0.4633554121737049        -0.17405957427470975      0.3914703093553129         
Zeropoint     AB|PS|PS_r                4912.199866474572     All      0.19285780459959445       0.5854123790987487        1.0776274038514444        0.17595750124651532        
Zeropoint     AB|PS|PS_z                6837.700631045759     All      0.7507086544444573        -0.03589174872153933      0.11524290198449139       -0.2510788682717008        
Zeropoint     AB|PS|PS_i                5949.737906343047     All      0.8148165164132962        -0.01385665374975531      -1.0132339944418423       -0.31514209361615114       
Check         All|All|All               All                   All      0.9960783762346073        0.9990193888011589        0.005576737119383779      0.0012068487139763051      
Lambda        AB|PS|PS_g                3868.0806729742376    All      -0.00115860960662398      0.0006144047652410154     -0.0009531635693829372    0.0005349937989770466      
Lambda        AB|PS|PS_r                4912.199866474572     All      -9.544818774552357e-05    3.438118966164994e-05     -0.0009479342042912942    -1.2250352030558469e-08    
Lambda        AB|PS|PS_z                6837.700631045759     All      -0.00060697236643712      3.7559063622381246e-05    -2.000714221022078e-05    0.0002090522643572316      
Lambda        AB|PS|PS_i                5949.737906343047     All      2.0432937681003045e-05    3.983236524989305e-05     0.000606250665473605      3.3373214572890516e-05     
MWEBV         All|All|All               All                   All      -0.4747594524101193       -3.010820921074142        0.045742891706934685      -0.8240373591205774        
Redshift      All|All|All               All                   All      4.8538169777051685        -0.2660530428428842       1.6345489183363648        -1.594767693399339         
