#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3868.0806729742376    All      -0.8535709961203922        0.45412493329202164        -0.3643785806328872       0.40969904360446524        
Zeropoint     AB|PS|PS_r                4912.199866474572     All      0.27895153716014254        0.5342388981354418         0.7404981861813735        0.11620052523848452        
Zeropoint     AB|PS|PS_z                6837.700631045759     All      0.6890375063691389         -0.007690140900962206      0.2556337580223383        -0.21553935583747255       
Zeropoint     AB|PS|PS_i                5949.737906343047     All      0.8819623586922478         0.017856926271164753       -0.6297093830863951       -0.3095686051804297        
Check         All|All|All               All                   All      0.996380406101137          0.998530616797666          0.002043980484429442      0.0007916078250475023      
Lambda        AB|PS|PS_g                3868.0806729742376    All      -0.0010936035835949847     0.0004886002209659271      -0.0011594353797144564    0.0004636355562019646      
Lambda        AB|PS|PS_r                4912.199866474572     All      -8.49085221274562e-05      -3.3879127519868856e-05    -0.0009324636197940437    -2.4989616059998907e-05    
Lambda        AB|PS|PS_z                6837.700631045759     All      -0.0005659441426308443     1.7279697013192465e-05     -8.708882067168506e-05    0.00018608881798437001     
Lambda        AB|PS|PS_i                5949.737906343047     All      -0.00012550818464407545    1.2817051385831433e-05     0.00031035101994618343    5.890662076955506e-05      
MWEBV         All|All|All               All                   All      -0.4832440490019714        -3.005183333500483         0.05305691688875506       -0.8191109077800496        
Redshift      All|All|All               All                   All      5.073310388519568          0.4557347640957943         3.704173856234061         -1.338796028052022         
