#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4065.45131267198     All      -0.9804095477258662        0.5088623767310452         -0.8567298739490692       0.44687294193025695       
Zeropoint     AB|PS|PS_i                6253.326087637593    All      0.16833136075524513        -0.16761282908532849       -2.4375411653964285       -0.21820434185663984      
Zeropoint     AB|PS|PS_z                7186.597528941494    All      0.8672115647369659         -0.010736007842027107      1.0039925514103487        -0.2411728316077444       
Zeropoint     AB|PS|PS_r                5162.847180203881    All      0.9461541140493878         0.6632863941634426         2.3044511992570627        0.010697750622890023      
Check         All|All|All               All                  All      1.0012874918157326         0.9937999339671322         0.014172711321913667      -0.0018064809112372515    
Lambda        AB|PS|PS_g                4065.45131267198     All      -0.0005182707284148552     0.0002849372578347298      -0.0004189236233619282    0.0002429366286153097     
Lambda        AB|PS|PS_i                6253.326087637593    All      -0.00015134831339172602    -3.9775664736551175e-05    -0.0009647955008147347    -6.711509757799288e-06    
Lambda        AB|PS|PS_z                7186.597528941494    All      -0.00021701062756001089    3.485926871821285e-05      -0.0008678052770904481    4.331614766020598e-05     
Lambda        AB|PS|PS_r                5162.847180203881    All      -0.00024513076700200464    -3.240601582371379e-05     -0.0010034841758448673    2.451055996336939e-05     
MWEBV         All|All|All               All                  All      -0.46878943768819825       -3.2267130182216164        0.13219855530397506       -0.8924470288132813       
Redshift      All|All|All               All                  All      6.638691678182389          0.18153109022289726        4.748057118486715         -1.8914256556113396       
