#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4065.45131267198     All      -1.0163462985536211        0.48498123672722215        -0.6519134619417116       0.45993986677355986       
Zeropoint     AB|PS|PS_i                6253.326087637593    All      0.1124191956702783         -0.15994547595568065       -2.265350927822151        -0.1898103416083367       
Zeropoint     AB|PS|PS_z                7186.597528941494    All      1.0069219392728408         -0.074434062883455         1.0752571080769415        -0.3042494392018746       
Zeropoint     AB|PS|PS_r                5162.847180203881    All      0.8928123365935612         0.7456031831033272         1.839515274727109         0.034138253793934835      
Check         All|All|All               All                  All      0.9958071729830594         0.9962048809914137         -0.0024920069598117767    1.8339757283401814e-05    
Lambda        AB|PS|PS_g                4065.45131267198     All      -0.0008246988939817563     0.0003864461828175845      -0.0005426969374329667    0.00037029172520228806    
Lambda        AB|PS|PS_i                6253.326087637593    All      -7.000506422688163e-05     -4.0125349059159255e-05    -0.0010196001610318721    -3.576726608913489e-05    
Lambda        AB|PS|PS_z                7186.597528941494    All      -0.00024142822511288376    5.9863814229778645e-05     -0.0008859638409164806    5.8604232292216465e-05    
Lambda        AB|PS|PS_r                5162.847180203881    All      -6.731030754091365e-05     6.34096010357909e-05       -0.0005465767478576749    1.8188564860001004e-05    
MWEBV         All|All|All               All                  All      -0.45272180055203526       -3.2353716892382423        0.15076995767244386       -0.8996724444576816       
Redshift      All|All|All               All                  All      7.134508410039339          -0.7227469830031197        3.91475113614666          -2.3846692141336696       
