#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6929.851460921894     All      0.7865761802390034         0.03920142865059262        0.8881501153040333         -0.20381048397125676       
Zeropoint     AB|PS|PS_r                4978.400965153535     All      -0.12847152531880673       0.22267550630612476        -1.3403866652247491        0.05456483989874295        
Zeropoint     AB|PS|PS_i                6029.921774458834     All      0.9926853544455889         0.10581913679565957        -0.16016621244944307       -0.29602898656531046       
Zeropoint     AB|PS|PS_g                3920.2103088380845    All      -0.6536827571315257        0.6309519445199641         0.6172178923481297         0.44599138531048327        
Check         All|All|All               All                   All      0.9971072522342598         0.998648016272341          0.0048151299779708445      0.0007167546726590257      
Lambda        AB|PS|PS_z                6929.851460921894     All      -0.0005543128455919419     -2.2583653899869755e-05    -0.0007458666089487249     0.00013991708998895664     
Lambda        AB|PS|PS_r                4978.400965153535     All      -0.00025474958336641385    -7.552170814519487e-05     -0.0024112659268529795     -4.9223308390110506e-05    
Lambda        AB|PS|PS_i                6029.921774458834     All      -0.00012006095751924498    -2.9059716766205177e-05    -0.00024943636495911936    1.851089861682099e-05      
Lambda        AB|PS|PS_g                3920.2103088380845    All      -0.0007351445110099818     0.0006234325372811518      0.00025132610380533776     0.00045374877019949996     
MWEBV         All|All|All               All                   All      -0.4880413937480177        -3.0688697473138404        0.04416353974011968        -0.8386898855444386        
Redshift      All|All|All               All                   All      6.3241066840852955         0.46601185555665836        10.419368893868585         -1.4432056319441826        
