#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6929.851460921894     All      0.8378577614353845        -0.05195520149445798      0.5970543236047288        -0.2631975637120504       
Zeropoint     AB|PS|PS_r                4978.400965153535     All      -0.17294877743231396      0.30131828557102835       -0.7378778457773016       0.12155628603643387       
Zeropoint     AB|PS|PS_i                6029.921774458834     All      0.8402177845632539        0.09407582824625393       -1.0555511831303654       -0.29014738384555705      
Zeropoint     AB|PS|PS_g                3920.2103088380845    All      -0.511134836506498        0.6545929197185885        1.183495634421905         0.4325298560719504        
Check         All|All|All               All                   All      0.9939919320598264        0.9980318320414128        -0.01287907088103335      0.0007411945507768136     
Lambda        AB|PS|PS_z                6929.851460921894     All      -0.0006045677325630616    3.2149132599987034e-05    -0.0007372462846617118    0.00017449971471152905    
Lambda        AB|PS|PS_r                4978.400965153535     All      -0.0002330529778741541    3.69808634131866e-05      -0.0019599073564662223    4.972421666020196e-07     
Lambda        AB|PS|PS_i                6029.921774458834     All      7.826911036476093e-06     3.175435354110745e-05     -8.936035236492112e-05    3.806213104442072e-06     
Lambda        AB|PS|PS_g                3920.2103088380845    All      -0.0008429398384446803    0.0007696847325082921     0.00011661990952848798    0.0005304890874782981     
MWEBV         All|All|All               All                   All      -0.4726826405770299       -3.0766401743994365       0.06416779155842267       -0.8453311225989912       
Redshift      All|All|All               All                   All      6.701586960342781         -0.957180041584671        9.616090610063399         -2.0655904196575787       
