#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.5135269241751865        0.2951716965293727        -0.09804929484857274       0.259044256452868         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.3141291346441084        0.458714363069479         0.06594396449415721        0.2546833292668687        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.2594777733388203        0.0879704213061494        -0.032269520157636226      0.11173526722585456       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.5834996701219172         0.237935379940879         -0.08826044637902791       -0.11650031639575409      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.1202053384706219         -0.03333486634273797      -0.00935272138293323       -0.3761633640530364       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.3776119102580972         -0.048438989404431254     0.16274288737352058        -0.13151632706591407      
Check         All|All|All                              All                   All      0.994183086692521          0.9980180050987109        0.000754869099507699       0.0012828454308867754     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.000306419214282501      9.894119677810766e-05     -0.00046626036165077603    0.00011123216335975648    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.00013836396137475697    -7.334762665761325e-05    -0.0006473723835531316     -7.71129701291052e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.0005971139536468483     0.00013975069279823318    -0.00018136004367836703    0.00023192779168115479    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.0001735997364566343      7.95073066002841e-05      -0.0011399116744499592     -8.151802255895591e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -0.000188736968534634      1.35614555188635e-05      -0.0008194714326331713     2.9326005792427698e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -9.831012947621084e-05     1.4823952459575596e-05    -0.00044343171274542235    1.706317175559074e-05     
MWEBV         All|All|All                              All                   All      -1.0137245382495776        -3.9051617945236927       -0.002260632410429892      -0.9419371214704705       
Redshift      All|All|All                              All                   All      7.239204408492233          0.040501018561478475      14.497815226055543         -1.6978836169254545       
