#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.5064700095728826        0.3040705937572774         -0.119575692724333         0.2586836265234288        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.3110572593839208        0.46216460093528866        0.01968605645840671        0.25274229643453133       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.22300320282804553       0.07823908777542243        -0.03986958953007824       0.09634532796021084       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.5620490540295162         0.2366712456353781         -0.15396989644068104       -0.11285722612589949      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.1109962569393852         -0.035761068262640805      0.07194006501928807        -0.3703262333206461       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.35762456804557846        -0.047372642210952165      0.1798490672009101         -0.12389507754071855      
Check         All|All|All                              All                   All      0.990139407229631          0.9980118176297736         -0.041939990016487405      0.0006927139309068076     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.0003332498195443028     0.0001163786423562433      -0.00046111675588570507    0.00012588125939550635    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.0001816391232066216     -3.6627426594677016e-05    -0.0006903439387002615     1.642820098045888e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.0006906945020903262     0.00017971753423967027     -0.0003228785737549931     0.0002691132481190757     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.00018721400500399895     9.411525306493528e-05      -0.001275224383196922      -8.723273369284756e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -0.00017046867926987004    1.3539188411709508e-05     -0.001030639580740138      1.394470525087317e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -0.0001145974803401296     1.8695068297149135e-05     -0.0005441040112247143     1.9136905244134482e-05    
MWEBV         All|All|All                              All                   All      -1.0222675091382172        -3.9016894191176377        0.0023975022517219724      -0.9378154567332035       
Redshift      All|All|All                              All                   All      7.446428819545423          -0.35689238292295755       16.71718372179391          -1.795787307030168        
