#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7248.943720383762    All      0.4723212346102626         -0.061327901063279455      0.09401835028791355        -0.16963147286126967      
Zeropoint     AB|PS|PS_r                5207.636645230675    All      0.25640608520900826        0.5096325951670977         0.3349656663458604         0.09743218444543074       
Zeropoint     AB|PS|PS_i                6307.575830139621    All      1.1078093596679766         -0.05741647298300734       -0.21367628524894847       -0.38908777971664166      
Zeropoint     AB|PS|PS_g                4100.720493229027    All      -0.8402294289187686        0.6077967246120863         -0.2154630876750794        0.46205462883367077       
Check         All|All|All               All                  All      0.9963072505684787         0.9986849457328972         -0.0001553562902539274     0.000767560701190162      
Lambda        AB|PS|PS_z                7248.943720383762    All      -0.00012495211310543754    -2.5330998716219635e-05    -0.0005628108976990757     7.334208926529162e-06     
Lambda        AB|PS|PS_r                5207.636645230675    All      -7.736915916206264e-05     5.45383165908061e-05       -0.0008338135357756426     5.7573359451484385e-06    
Lambda        AB|PS|PS_i                6307.575830139621    All      -0.0003599325752799166     -3.852296912916283e-05     -0.0009766820756838942     6.110884748601311e-05     
Lambda        AB|PS|PS_g                4100.720493229027    All      -0.0006224834777519327     0.00040988713984893533     -0.00041902629361793674    0.0003175778551710784     
MWEBV         All|All|All               All                  All      -0.5340249627538096        -3.279000844405644         0.016930056909833402       -0.8933734409951751       
Redshift      All|All|All               All                  All      6.313431172118468          -0.1325527617339617        2.9928049262018805         -1.9661138954276132       
