#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7248.943720383762    All      0.4434788528356056         -0.051353489405592256      0.12982999390974137        -0.1553894570278708       
Zeropoint     AB|PS|PS_r                5207.636645230675    All      0.2709914651744469         0.5007743977639478         0.37585698701024794        0.09162063185990388       
Zeropoint     AB|PS|PS_i                6307.575830139621    All      1.1084742017774063         -0.044520758088140155      -0.21096414073516478       -0.3849827515134411       
Zeropoint     AB|PS|PS_g                4100.720493229027    All      -0.8266531889157802        0.5934559044526111         -0.29516458987634          0.44940441190727454       
Check         All|All|All               All                  All      0.9962913308716785         0.9983560547228265         -0.0004417496915154473     0.000652835225866566      
Lambda        AB|PS|PS_z                7248.943720383762    All      -0.00011749922265823077    -2.448966554929917e-05     -0.0005242412122231172     6.901795125200178e-06     
Lambda        AB|PS|PS_r                5207.636645230675    All      -0.0001164993577022145     5.9522255008054776e-05     -0.000925105842421003      1.6052805308987567e-05    
Lambda        AB|PS|PS_i                6307.575830139621    All      -0.0004496766722698252     -4.8759042498549586e-05    -0.0012495124087477032     7.483206181525743e-05     
Lambda        AB|PS|PS_g                4100.720493229027    All      -0.000574534083252283      0.00039867312928098365     -0.00036879763231485816    0.00030054786218440755    
MWEBV         All|All|All               All                  All      -0.5335074735001264        -3.279155197950523         0.013901399069932152       -0.8937274373869107       
Redshift      All|All|All               All                  All      6.154314637819652          -0.20125583953429782       2.3297219708744374         -1.966253604998095        
