#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.6655899183078339         0.1666763612493405        -0.09932079342671596       -0.16694479014917052       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.3583087851135558        0.11496511932067577       -0.2234528568434424        0.14418920620413028        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      0.3016447819767217         -0.020546683173883196     0.18382033383739227        -0.09674530274100396       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.23791777822244636       0.43610211975941837       -0.09112076590436224       0.21548415408891436        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.42940251438322513       0.32999040276697755       0.18577847626020105        0.255649696546531          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      1.0522868583877407         -0.029124645454281506     0.044845526398740176       -0.3502500543079462        
Check         All|All|All                              All                  All      0.993892480953069          0.9980626744682475        0.0005499203218128912      0.001382909641454988       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.00021873576079051187     5.2758500909631514e-05    9.968790902912244e-05      -4.9615640502895966e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.0005928308118021367     0.00012918394549882146    -0.001046490111976786      0.00018848391269059886     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      -9.789095654553801e-05     7.12629219500803e-06      -5.216657785878457e-05     3.187961810224513e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.00012147604289755813    -6.246334093966839e-05    -0.0012911515402657414     -3.83957847096146e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.00014508326136207256    4.161713590497209e-05     -0.00043807844159303536    4.126503282371296e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      -0.00024169488284135501    1.2660739381343006e-06    -0.00014621123236092606    7.261564102476953e-05      
MWEBV         All|All|All                              All                  All      -1.1006485328607796        -3.950579142763555        0.02815617715081764        -0.9270596787078547        
Redshift      All|All|All                              All                  All      3.7979904726348552         0.42766554566489035       1.054114315003929          -1.0507854286040479        
