#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.6736307186255184         0.18185023580299386        -0.06253689718440332       -0.1629798168523739       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.3314758597309798        0.11397178721912482        -0.14242680891716827       0.13874109906464255       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      0.3255655329525834         -0.0302654524202417        0.09501659568846242        -0.11166570415749373      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.23996598737988006       0.4729941208294619         0.3745942632858758         0.24895098445586547       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.4536290954835288        0.29871268461763023        -0.18972491657722707       0.2365959174365078        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      1.0197511839785167         -0.03904065872086804       -0.0732090968803366        -0.3481503221407137       
Check         All|All|All                              All                  All      0.9938764929622299         0.9982227173281011         0.0017131394152029716      0.0014921578064345242     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.00016935425825641905     4.056885977646742e-05      9.680487715076318e-06      -4.151764549282937e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.00047813631461849016    7.379325763996178e-05      -0.0012502756711600545     0.00012398755873274412    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      -9.638036581142525e-05     1.0083388033159947e-05     -1.266505123755003e-05     3.4113564112391155e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -5.867111471501542e-05     -0.00011200832955599922    -0.0012558068894189345     -7.341457937829897e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.00014291152344308972    2.517113871018856e-05      -0.000657969004397274      2.538791809473998e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      -0.00018897114272016697    6.051930875364362e-06      -3.2757745385941485e-05    6.20636034129177e-05      
MWEBV         All|All|All                              All                  All      -1.0873883291071191        -3.9572476642639742        -0.011942326337649066      -0.93534053220362         
Redshift      All|All|All                              All                  All      3.7010666550127747         0.8877792336690504         2.785038228728872          -0.7920968026084263       
