#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3974.2634037551175    All      -0.9993331128428158        0.5031013057028133        -0.9267320187365061       0.4480365250745042        
Zeropoint     AB|SDSS|SDSS_u            3022.373862408992     All      -0.04295379795360128       0.03115123131554043       0.1591227905894553        0.031239365335471364      
Zeropoint     AB|SDSS|SDSS_i            6297.631378670701     All      1.0045494637109311         0.003248276696155017      -0.346876681973474        -0.34163625161079547      
Zeropoint     AB|SDSS|SDSS_r            5193.174189083487     All      0.9619530115064804         0.4626703450073322        1.09528075311389          -0.11375544082167599      
Zeropoint     AB|SDSS|SDSS_z            7487.358747172846     All      0.0707303695464026         0.0003307142820929698     0.03263359699261772       -0.021475196246358637     
Check         All|All|All               All                   All      0.994945933967397          1.000501873003934         0.013428439985982775      0.0024090017311454368     
Lambda        AB|SDSS|SDSS_g            3974.2634037551175    All      -0.0009347910608000678     0.00033797962769433875    -0.0018423720095882155    0.00033236668507518604    
Lambda        AB|SDSS|SDSS_u            3022.373862408992     All      -4.922754439395058e-05     3.6197640538057585e-05    0.0001868691593785555     3.616490546152127e-05     
Lambda        AB|SDSS|SDSS_i            6297.631378670701     All      -0.0002937328377156727     -2.968292215299695e-06    4.379136146700343e-05     9.666578567470765e-05     
Lambda        AB|SDSS|SDSS_r            5193.174189083487     All      0.0002857431825508784      0.0001282468213459243     0.0003338512551397126     -3.640349812730081e-05    
Lambda        AB|SDSS|SDSS_z            7487.358747172846     All      -1.4438541913219197e-05    1.5579996585676518e-07    -4.158734013326202e-06    4.568272090961001e-06     
MWEBV         All|All|All               All                   All      -0.6570147398228201        -3.2118417419829015       0.3942088314530912        -0.8145994763032599       
Redshift      All|All|All               All                   All      4.935101267723523          -0.3407057261805235       -6.618898802749371        -2.0138749608731956       
