#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3974.2634037551175    All      -1.0020308828785054        0.57460675882961           -0.3882744098846036       0.49623584610877025        
Zeropoint     AB|SDSS|SDSS_u            3022.373862408992     All      -0.02740992203705872       0.025417548473427587       0.14781923979756417       0.02380413888037544        
Zeropoint     AB|SDSS|SDSS_i            6297.631378670701     All      1.0501828427902056         -0.04351663673194395       -0.6830061237357077       -0.3867333284931405        
Zeropoint     AB|SDSS|SDSS_r            5193.174189083487     All      0.8918031633362571         0.44781317902753415        0.9384354662779648        -0.10274407994418297       
Zeropoint     AB|SDSS|SDSS_z            7487.358747172846     All      0.08258863340807696        -0.004257361433879225      -0.0029850573731726726    -0.028421807069081706      
Check         All|All|All               All                   All      0.9951338346189753         1.0000634881647485         0.011989115082045032      0.002140769482740529       
Lambda        AB|SDSS|SDSS_g            3974.2634037551175    All      -0.0010670362503628762     0.00044008436824364785     -0.0017272726370539755    0.0004138385235603028      
Lambda        AB|SDSS|SDSS_u            3022.373862408992     All      -3.901929666307219e-05     3.7561987020454885e-05     0.00023293659469840735    3.53399339274296e-05       
Lambda        AB|SDSS|SDSS_i            6297.631378670701     All      -0.00017906244809642147    1.9579331684922207e-05     0.00023477118459875546    7.518092249881864e-05      
Lambda        AB|SDSS|SDSS_r            5193.174189083487     All      0.0003215453542988584      0.0001361474574535418      0.00012291601777796995    -5.4905017071574836e-05    
Lambda        AB|SDSS|SDSS_z            7487.358747172846     All      -1.9651057030583827e-05    -4.1757185759591266e-06    -6.074493845358313e-05    2.3300592464116645e-06     
MWEBV         All|All|All               All                   All      -0.6366948780202533        -3.236995616455296         0.23507727795085698       -0.8365130786175164        
Redshift      All|All|All               All                   All      4.8002339835320615         -0.7306812021257159        -7.021717053691678        -2.1149480201998494        
