#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7432.461282925124     All      0.49299170379839735       -0.03770629897204003       0.34469731752327926       -0.1574835408044782        
Zeropoint     AB|PS|PS_i                6467.26129419379      All      1.1118130550442056        -0.05668151508064767       0.04152565133851427       -0.37876402472035076       
Zeropoint     AB|PS|PS_g                4204.53620191837      All      -0.7999377721276952       0.6974464912017808         -0.20357785619351532      0.47866257232278975        
Zeropoint     AB|PS|PS_r                5339.4755476415785    All      0.1893438026399381        0.3860757926130276         -0.2821479031167917       0.05149111636680425        
Check         All|All|All               All                   All      0.9942107893548457        0.9891344697621207         -0.09950279044851351      -0.006093876835234997      
Lambda        AB|PS|PS_z                7432.461282925124     All      -6.145750094987244e-05    -6.528410862809958e-05     -0.0006424404039894683    -2.9915616620450918e-05    
Lambda        AB|PS|PS_i                6467.26129419379      All      -0.0002504935659592139    -3.9355949524280985e-05    -0.0004923403397543751    4.680357976826825e-05      
Lambda        AB|PS|PS_g                4204.53620191837      All      -0.0006208109730150371    0.00036267480574699864     -0.0011686369096029984    0.0002682027759434609      
Lambda        AB|PS|PS_r                5339.4755476415785    All      2.1064297900902196e-05    8.156563228034086e-05      -0.0005242021731716875    -3.68546037299105e-06      
MWEBV         All|All|All               All                   All      -0.542367556325158        -3.4047066545243254        -0.003056807480994461     -0.9324944237211934        
Redshift      All|All|All               All                   All      5.52270461942747          0.37747332680915235        0.8047407313343857        -1.640059222288439         
