#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5882.62167821019     All      0.8181103451492906         0.071083959572249          -2.361643661152957        -0.3487203801807807        
Zeropoint     AB|PS|PS_g                3824.446652624053    All      -0.8304299654192774        0.45047813714695906        -0.1963378445289543       0.40847225337647225        
Zeropoint     AB|PS|PS_r                4856.787622765313    All      0.24406913272551906        0.4767405334664687         1.011851653739313         0.12094302192287804        
Zeropoint     AB|PS|PS_z                6760.567708103356    All      0.7648633127263933         0.00027396011876845705     1.5518397545517832        -0.17980042548339756       
Check         All|All|All               All                  All      0.9966128251819255         0.9985765903044452         0.005709902609184914      0.0008944696351720072      
Lambda        AB|PS|PS_i                5882.62167821019     All      -0.00015135679647655228    8.49755679238899e-06       0.000622271243753815      7.983892953199152e-05      
Lambda        AB|PS|PS_g                3824.446652624053    All      -0.001134085422103689      0.0005453194426665435      -0.0008739710999036723    0.000508036099049977       
Lambda        AB|PS|PS_r                4856.787622765313    All      -0.00019963775302076235    -5.3037735385122406e-05    -0.0016101067366189427    -2.4099219961288357e-05    
Lambda        AB|PS|PS_z                6760.567708103356    All      -0.0007979050247524323     8.462903326462993e-06      -0.001700714347437094     0.0001867654926644995      
MWEBV         All|All|All               All                  All      -0.4840338058510256        -2.9529174305496397        0.07784057134565948       -0.8007229532326576        
Redshift      All|All|All               All                  All      6.581275190697072          0.32556806682819683        15.443035467606986        -1.3485378712725467        
