#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5407.670927112904     All      0.8838531824631449         0.287497179372842         -0.5341998303104112       -0.21809165467193137       
Zeropoint     AB|SDSS|SDSS_i            6557.74616374302      All      1.0421619112300982         -0.09620034635133834      -0.30261298870143394      -0.3843062661347013        
Zeropoint     AB|SDSS|SDSS_z            7796.613543805814     All      0.06864259785829763        -0.009926554799299936     -0.009324100869939622     -0.026008649666703354      
Zeropoint     AB|SDSS|SDSS_u            3147.2087535541527    All      -0.0397235076118056        0.03572664895425959       0.18015749097489708       0.032616199618770714       
Zeropoint     AB|SDSS|SDSS_g            4138.414750337544     All      -0.9562991063847431        0.783187962630727         0.6838387852017846        0.5971247500287019         
Check         All|All|All               All                   All      0.9986350775549918         1.0002848898071903        0.01785935629489699       0.0013343791741365907      
Lambda        AB|SDSS|SDSS_r            5407.670927112904     All      0.0003775126097499931      0.00017300747081242982    0.0005735378831310457     -4.1019690211273614e-05    
Lambda        AB|SDSS|SDSS_i            6557.74616374302      All      -0.00020871940238703762    4.010717568483701e-05     0.00028390577381608       9.372041338263115e-05      
Lambda        AB|SDSS|SDSS_z            7796.613543805814     All      5.421669333353836e-06      2.433101161477104e-06     4.355788216645658e-05     9.703132524194855e-07      
Lambda        AB|SDSS|SDSS_u            3147.2087535541527    All      -1.5091539890620463e-05    1.1682521833301387e-05    7.268687776920346e-05     1.1964874260033462e-05     
Lambda        AB|SDSS|SDSS_g            4138.414750337544     All      -0.0009890240244072599     0.0006356662999979806     -0.0008314161532125834    0.0004921128050212107      
MWEBV         All|All|All               All                   All      -0.6025486563113849        -3.485524569556553        0.028346825250702423      -0.9378151134155771        
Redshift      All|All|All               All                   All      3.6867367455356765         -2.060474889777275        -7.548993639072204        -2.208932822106138         
