#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5407.670927112904     All      0.9508579692855685         0.3623586220859565        0.08706522842910626       -0.1878082771676953        
Zeropoint     AB|SDSS|SDSS_i            6557.74616374302      All      0.9208762382849601         -0.022166726174255302     0.19844037321144445       -0.29832463626359856       
Zeropoint     AB|SDSS|SDSS_z            7796.613543805814     All      0.08900465361423189        -0.004885287652989234     0.05445180093745477       -0.028153108970289845      
Zeropoint     AB|SDSS|SDSS_u            3147.2087535541527    All      -0.06883391502715866       0.04516746629299462       0.1590676666717767        0.044232459822210655       
Zeropoint     AB|SDSS|SDSS_g            4138.414750337544     All      -0.8973322938758364        0.6201104883198028        -0.48783009605600286      0.4725114198814224         
Check         All|All|All               All                   All      0.9945726522817656         1.0005845628715093        0.011194973193779323      0.0024578573020493377      
Lambda        AB|SDSS|SDSS_r            5407.670927112904     All      0.00029324695837564365     0.00010877639520002353    0.00029819002636371724    -4.6781279988205504e-05    
Lambda        AB|SDSS|SDSS_i            6557.74616374302      All      -0.00026335496714454537    9.222753589128576e-06     -6.769228760285234e-05    8.57667352873235e-05       
Lambda        AB|SDSS|SDSS_z            7796.613543805814     All      1.0581863009576706e-07     -2.694560341174675e-07    -1.167784492213e-06       -1.7435216275127545e-07    
Lambda        AB|SDSS|SDSS_u            3147.2087535541527    All      -5.174956924640043e-05     3.432185175484242e-05     0.00012311658852403142    3.3530421377535884e-05     
Lambda        AB|SDSS|SDSS_g            4138.414750337544     All      -0.0007238420517287239     0.00035526070220329127    -0.0014880497930091134    0.000285094440485266       
MWEBV         All|All|All               All                   All      -0.7323367062300035        -3.4013320402996428       0.2939439514351008        -0.856262219128023         
Redshift      All|All|All               All                   All      3.90505869399465           -0.8198062473690371       -1.7667859260602332       -1.617887496167407         
