#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5291.107623799159     All      1.1427840111088925         0.3151718158498795         -0.23700414154903537      -0.28015692594502634      
Zeropoint     AB|PS|PS_r                4368.424050313158     All      -0.07272701289483618       0.5104450901580293         1.999465859870031         0.27918531786809764       
Zeropoint     AB|PS|PS_g                3439.8878505933512    All      -0.7536664952712661        0.16277401210906817        -1.0978979342660233       0.24952068090745572       
Zeropoint     AB|PS|PS_z                6080.773726118574     All      0.6741106802272925         0.010200897826173616       -0.6758130647760652       -0.24641569129493154      
Check         All|All|All               All                   All      0.9905011831700827         0.9985918159431506         -0.01124928072109288      0.0021333815355954744     
Lambda        AB|PS|PS_i                5291.107623799159     All      0.0005250942601919313      0.00011522311336600497     0.0014841024954450799     -6.727983874591218e-05    
Lambda        AB|PS|PS_r                4368.424050313158     All      -0.00011568439801488403    -0.00012458600410448592    -0.0011469985896943196    -5.408482504160382e-05    
Lambda        AB|PS|PS_g                3439.8878505933512    All      -0.0007786422973631335     0.00021420440780694098     -0.0006133100922682274    0.00029603362297372227    
Lambda        AB|PS|PS_z                6080.773726118574     All      -0.00057929746413878       -6.636140313253699e-05     -0.0014921791188452537    0.00010049104942164279    
MWEBV         All|All|All               All                   All      -0.535012904886361         -2.509759712576276         -0.38007627765399565      -0.6602010611493527       
Redshift      All|All|All               All                   All      2.941817953687249          0.31777593823711925        -0.158930852560224        -0.8618291668569644       
