#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5291.107623799159     All      1.2020606196492976        0.35024542838719697       -0.3809371848851605       -0.29446370866168325      
Zeropoint     AB|PS|PS_r                4368.424050313158     All      -0.19837645256739456      0.494153184421009         1.7263181085366428        0.30261733480714126       
Zeropoint     AB|PS|PS_g                3439.8878505933512    All      -0.6408516884885659       0.1619222832685452        -0.7863967633274592       0.2263966173228825        
Zeropoint     AB|PS|PS_z                6080.773726118574     All      0.6298138420483814        -0.007732524060166668     -0.5665933184547759       -0.23295428362763923      
Check         All|All|All               All                   All      0.9926463206417184        0.9985883720165845        -0.007609158130752691     0.0015959598407012665     
Lambda        AB|PS|PS_i                5291.107623799159     All      0.0003358348724054497     9.280177015559739e-05     -0.0006718926496306031    -0.0001091473600160407    
Lambda        AB|PS|PS_r                4368.424050313158     All      -7.358219131673341e-05    -9.919679001797207e-05    -0.000944714713057921     -5.050179621829768e-05    
Lambda        AB|PS|PS_g                3439.8878505933512    All      -0.0009070388978693893    0.00020350610435559553    -0.0013988900046872563    0.000299315007030238      
Lambda        AB|PS|PS_z                6080.773726118574     All      -0.0001690371611626179    -8.549246970447564e-06    -0.0002307143430195155    4.198047205162759e-05     
MWEBV         All|All|All               All                   All      -0.49338014618037684      -2.5087646059596125       -0.27349454203904516      -0.6686818280255977       
Redshift      All|All|All               All                   All      2.13671722324502          -0.07227841980359528      -0.4226370529255526       -0.738402905309256        
