#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7588.96836545509      All      0.08004634966646042        -0.000367784627641754      0.0467732020422329         -0.024106255900428752     
Zeropoint     AB|SDSS|SDSS_i            6383.095417736631     All      0.9525476708953422         0.019519485178065565       0.015777063135252734       -0.3032139179373769       
Zeropoint     AB|SDSS|SDSS_u            3063.3899623229395    All      -0.09062086075445143       0.040826226253010134       0.08816937936729219        0.0467512351728927        
Zeropoint     AB|SDSS|SDSS_r            5263.649835415409     All      0.9411318979682739         0.4033496489562083         0.3128211588229457         -0.16121359943104957      
Zeropoint     AB|SDSS|SDSS_g            4028.197427894288     All      -0.8912287197114687        0.5372996833461485         -0.45599223815507295       0.4449698587721082        
Check         All|All|All               All                   All      0.9918763380641566         1.0006272591057908         0.007548565212650571       0.0031873206761456885     
Lambda        AB|SDSS|SDSS_z            7588.96836545509      All      -6.184829852771022e-06     -1.335029718897282e-06     -2.023695660672382e-05     6.766570289096339e-07     
Lambda        AB|SDSS|SDSS_i            6383.095417736631     All      -0.0003895295832870016     -2.8054285819033747e-05    -0.00041157880176274415    9.937752495976283e-05     
Lambda        AB|SDSS|SDSS_u            3063.3899623229395    All      -5.4740429785666347e-05    2.88671470921683e-05       8.775384371873992e-05      3.114978940302997e-05     
Lambda        AB|SDSS|SDSS_r            5263.649835415409     All      0.0002989623114396117      6.599467569616772e-05      -0.00044499539372649314    -9.574332400129431e-05    
Lambda        AB|SDSS|SDSS_g            4028.197427894288     All      -0.000756631133641695      0.0002470911249851422      -0.0015041313036782188     0.00025982288925828056    
MWEBV         All|All|All               All                   All      -0.7379001170591168        -3.2479940580710576        0.38282403982514146        -0.8005364975752105       
Redshift      All|All|All               All                   All      6.080913697632797          0.07101675017846532        -1.441376989489207         -2.0219431905584213       
