#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7588.96836545509      All      0.08512695666520785       0.0012381301257136101      0.08220825100364952       -0.023656773990877608     
Zeropoint     AB|SDSS|SDSS_i            6383.095417736631     All      0.9902114558836044        0.005175678532154393       -0.013770233612056267     -0.3214730616795771       
Zeropoint     AB|SDSS|SDSS_u            3063.3899623229395    All      -0.055617151922495556     0.02995579897593359        0.09050363989942724       0.03191268715460934       
Zeropoint     AB|SDSS|SDSS_r            5263.649835415409     All      0.9104000872575202        0.39635801332273957        0.29057952063347026       -0.15447318554006362      
Zeropoint     AB|SDSS|SDSS_g            4028.197427894288     All      -0.936372995732846        0.567459695073147          -0.4430754383160736       0.4700753601813326        
Check         All|All|All               All                   All      0.9937483521509908        1.0001873160296881         0.006445739608417156      0.0023850261254235727     
Lambda        AB|SDSS|SDSS_z            7588.96836545509      All      -4.467825352001177e-06    -8.745371005149212e-08     -3.840441994453907e-06    1.255449866029153e-06     
Lambda        AB|SDSS|SDSS_i            6383.095417736631     All      -0.0003133166314115111    -1.3670967493980487e-05    -0.0002470628437673611    8.657917078873034e-05     
Lambda        AB|SDSS|SDSS_u            3063.3899623229395    All      -5.26834571819889e-05     2.935584762370469e-05      9.32095055318201e-05      3.088241272428435e-05     
Lambda        AB|SDSS|SDSS_r            5263.649835415409     All      0.00031539270198853675    9.147457212094648e-05      -0.0005537535887503584    -9.764898095322129e-05    
Lambda        AB|SDSS|SDSS_g            4028.197427894288     All      -0.0008690258355707392    0.0003671742088069853      -0.0013158612379353912    0.0003439501807102853     
MWEBV         All|All|All               All                   All      -0.6891386889405435       -3.2824884487787642        0.23922572043930998       -0.8340637902729757       
Redshift      All|All|All               All                   All      6.086087162990048         -0.5480305895636306        -2.3734446904053517       -2.2668663436935543       
