#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7873.745512304707    All      0.15240039822776222        -0.0006192621423650735    0.2394440366533912        -0.03915824995068817       
Zeropoint     AB|SDSS|SDSS_r            5461.169064638757    All      0.8266896533142731         0.2472579783034945        -1.1044885234060553       -0.23802820935420466       
Zeropoint     AB|SDSS|SDSS_g            4179.356124995262    All      -0.931303714702371         0.729093317243823         0.027167123941362892      0.5420582827121045         
Zeropoint     AB|SDSS|SDSS_i            6622.62200601526     All      0.9971758837051344         -0.008647808809492119     0.7418421960764254        -0.2945248572156861        
Zeropoint     AB|SDSS|SDSS_u            3178.344118296123    All      -0.04997271800386803       0.033159093743506673      0.1055269304437223        0.03178794827953246        
Check         All|All|All               All                  All      0.9949895025409305         1.000243318338967         0.009491763708846523      0.002134914471058069       
Lambda        AB|SDSS|SDSS_z            7873.745512304707    All      1.3137740919362264e-05     1.484512346516113e-06     3.6362890420131286e-05    -2.1731311352730177e-06    
Lambda        AB|SDSS|SDSS_r            5461.169064638757    All      0.00023524454803305054     5.0687647668308854e-05    -0.0009112291947421421    -0.00010078022802749681    
Lambda        AB|SDSS|SDSS_g            4179.356124995262    All      -0.000798103766576442      0.0004020305725175733     -0.0014298593272819404    0.0003271151828196708      
Lambda        AB|SDSS|SDSS_i            6622.62200601526     All      -0.00039650663295003074    3.933568876759751e-07     -0.0003571686414899494    0.0001133445882584963      
Lambda        AB|SDSS|SDSS_u            3178.344118296123    All      -3.877255416869596e-05     2.4481989729722157e-05    7.672673530212404e-05     2.402804776378147e-05      
MWEBV         All|All|All               All                  All      -0.6933787563131784        -3.4858594165992685       0.14670933997366076       -0.9030558569086966        
Redshift      All|All|All               All                  All      3.3929572590834325         -0.5345103490402181       5.148171534324231         -1.0495661589319971        
