#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7873.745512304707    All      0.13248694038383024       -0.0004226477178903565    0.17645782088935158        -0.035418523335465614      
Zeropoint     AB|SDSS|SDSS_r            5461.169064638757    All      0.8350574651080993        0.31325592624042997       -0.641998650440067         -0.19861737914591485       
Zeropoint     AB|SDSS|SDSS_g            4179.356124995262    All      -0.7918757979261439       0.6267422585981564        -0.2113839522406661        0.4526574772206283         
Zeropoint     AB|SDSS|SDSS_i            6622.62200601526     All      0.9104869776293982        0.0022454609231559175     0.5450139626065557         -0.27152267225705023       
Zeropoint     AB|SDSS|SDSS_u            3178.344118296123    All      -0.09283245702975912      0.058939414084591135      0.13981563481298967        0.055676421199912          
Check         All|All|All               All                  All      0.9933231281654249        1.000760412128443         0.007904815628163836       0.002775323682109636       
Lambda        AB|SDSS|SDSS_z            7873.745512304707    All      9.518648705145813e-06     4.815106055122156e-07     2.0988594689747956e-05     -2.0070686081883148e-06    
Lambda        AB|SDSS|SDSS_r            5461.169064638757    All      0.00015771200876914094    2.604312487114795e-05     -0.0008709691026407034     -8.175623809764474e-05     
Lambda        AB|SDSS|SDSS_g            4179.356124995262    All      -0.0006715269921559574    0.00027913371139994854    -0.0017012170918490749     0.00023374396155458722     
Lambda        AB|SDSS|SDSS_i            6622.62200601526     All      -0.0003475891850244896    -7.847080264214955e-06    -0.00036021243549364776    9.459055410346739e-05      
Lambda        AB|SDSS|SDSS_u            3178.344118296123    All      -6.059770424318738e-05    3.8595017024778206e-05    9.271137757489251e-05      3.644761563378693e-05      
MWEBV         All|All|All               All                  All      -0.769061903643371        -3.431258335744758        0.2706038009622392         -0.8550891567979023        
Redshift      All|All|All               All                  All      3.0604908489878784        -0.2271772948146733       3.312907862871274          -0.9230618132212336        
