#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6453.462409466057    All      1.1147052529729427        -0.13899815599298648      -0.08364101947739841      -0.41210496046720935      
Zeropoint     AB|PS|PS_g                4195.565185015754    All      -0.9177563835441297       0.6594973645929869        -0.22228134984421274      0.5038440401330487        
Zeropoint     AB|PS|PS_r                5328.082965180963    All      0.4183102989182662        0.5460863170609898        0.26988816327614057       0.053664721990734486      
Zeropoint     AB|PS|PS_z                7416.602997350905    All      0.381122303384269         -0.0677924809350472       0.03653149527628464       -0.14459608125943493      
Check         All|All|All               All                  All      0.9963814717313481        0.998793044725943         0.0004972892308140534     0.0008077203971389446     
Lambda        AB|PS|PS_i                6453.462409466057    All      -0.0004383828093425246    4.094588445100986e-06     -0.0006563366345003564    0.00011484015598080677    
Lambda        AB|PS|PS_g                4195.565185015754    All      -0.0007497464779956508    0.0004038145318797602     -0.000786379803987734     0.00034066025300621874    
Lambda        AB|PS|PS_r                5328.082965180963    All      3.486998186170797e-05     8.868578352699292e-05     -0.0009259816499497047    -2.379273106769532e-05    
Lambda        AB|PS|PS_z                7416.602997350905    All      1.0257460883609644e-05    -4.924021588591353e-05    -0.0003604452062124254    -3.54653648275653e-05     
MWEBV         All|All|All               All                  All      -0.554785396619561        -3.390818921183758        0.013482385803645521      -0.9231877647260905       
Redshift      All|All|All               All                  All      6.523646116872597         -0.30465278859335143      0.5530690500156724        -2.199520666323714        
