#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6453.462409466057    All      1.096628661809185         -0.12191032109445388      -0.07224916950356597       -0.40014238408000896       
Zeropoint     AB|PS|PS_g                4195.565185015754    All      -0.8697429975717869       0.6408677956278197        -0.15798978297166533       0.48500527457084314        
Zeropoint     AB|PS|PS_r                5328.082965180963    All      0.4172263957294602        0.5441494561742033        0.2183962959275726         0.05108904006085359        
Zeropoint     AB|PS|PS_z                7416.602997350905    All      0.35212714789576544       -0.06464497007261372      0.011412143390121532       -0.13524711867229072       
Check         All|All|All               All                  All      0.996239207862624         0.9984619606349554        -0.00043051315753717123    0.000704811879397027       
Lambda        AB|PS|PS_i                6453.462409466057    All      -0.000439812659716518     -7.480390789029903e-06    -0.000745518940947697      0.00010755575700900771     
Lambda        AB|PS|PS_g                4195.565185015754    All      -0.0007287949672999776    0.0004165934014787025     -0.0007297882070861431     0.00034052357798302236     
Lambda        AB|PS|PS_r                5328.082965180963    All      4.012112530859192e-06     0.00011949947099126871    -0.000838939024154853      1.8003653133376132e-07     
Lambda        AB|PS|PS_z                7416.602997350905    All      2.867331968393395e-05     -4.324971864235909e-05    -0.0002827771105316647     -3.6046743475287005e-05    
MWEBV         All|All|All               All                  All      -0.5544901766764947       -3.3911028981341573       0.012011658704927375       -0.9234420600049146        
Redshift      All|All|All               All                  All      6.411113114967051         -0.4883454961822409       -0.8791181988691416        -2.2866116626691744        
