#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3997.8221178588515    All      -0.8870194876047413        0.49076261232947616       -0.9303485191412109       0.40727177616021876        
Zeropoint     AB|SDSS|SDSS_z            7531.742454591451     All      0.0747265768537884         0.010546020500257214      0.1243362597995401        -0.01535716246286456       
Zeropoint     AB|SDSS|SDSS_i            6334.962597593087     All      0.9446350805340069         0.10246975681873494       0.4815770260036101        -0.25283038148298936       
Zeropoint     AB|SDSS|SDSS_u            3040.2899476065195    All      -0.08654679618120462       0.03922754048915067       0.14198121786962448       0.04730480896367878        
Zeropoint     AB|SDSS|SDSS_r            5223.9583856961       All      0.9449906067649869         0.35712857338090487       0.18674137222691733       -0.18315259458924898       
Check         All|All|All               All                   All      0.9907859803668362         1.0001345035185238        0.004287356758481131      0.003236446588794628       
Lambda        AB|SDSS|SDSS_g            3997.8221178588515    All      -0.0006929777310118862     0.00020230341467733325    -0.0017759816722086375    0.00021236861778392056     
Lambda        AB|SDSS|SDSS_z            7531.742454591451     All      -9.170757511464864e-06     1.1406988846414158e-06    1.887726262895341e-05     4.201186116049804e-06      
Lambda        AB|SDSS|SDSS_i            6334.962597593087     All      -0.00038521629852135707    -5.371044461473614e-05    -0.0004080721233087905    8.977197818023343e-05      
Lambda        AB|SDSS|SDSS_u            3040.2899476065195    All      -7.73523185701702e-05      4.3681104074870355e-05    0.0001934722758526423     4.8058346722101814e-05     
Lambda        AB|SDSS|SDSS_r            5223.9583856961       All      0.000305038099186377       0.00010024613971979176    0.0002674959380750072     -5.4770363501729394e-05    
MWEBV         All|All|All               All                   All      -0.798796944479919         -3.1967851577203277       0.44543140245519863       -0.761226094822165         
Redshift      All|All|All               All                   All      4.677891248087473          0.12368228480887922       -6.778827353280958        -1.785963619113383         
