#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3997.8221178588515    All      -0.8562836636271578       0.5368788641689548         -0.4825366760367751        0.43226547334823273       
Zeropoint     AB|SDSS|SDSS_z            7531.742454591451     All      0.08170430617351453       0.007266297440722269       0.09302641322802009        -0.020095566814512543     
Zeropoint     AB|SDSS|SDSS_i            6334.962597593087     All      0.9538241905572491        0.0760220762035857         0.2766545123530601         -0.2735832072186626       
Zeropoint     AB|SDSS|SDSS_u            3040.2899476065195    All      -0.08446847900793795      0.041414849142995536       0.1542602690187513         0.04788826873175975       
Zeropoint     AB|SDSS|SDSS_r            5223.9583856961       All      0.897601344498135         0.3386377722925715         -0.03315548717814876       -0.18355240193777517      
Check         All|All|All               All                   All      0.9923776985938028        1.0002198592488298         0.008249031384907651       0.0029225661090422073     
Lambda        AB|SDSS|SDSS_g            3997.8221178588515    All      -0.0007443769546863064    0.0003109766492910659      -0.0014890379744270871     0.0002773144630230819     
Lambda        AB|SDSS|SDSS_z            7531.742454591451     All      -1.053656934706581e-05    -4.166476435958357e-07     -5.783278021821933e-06     3.0383102978763413e-06    
Lambda        AB|SDSS|SDSS_i            6334.962597593087     All      -0.000272105064884004     -2.9868671545648933e-05    -0.0001616397199695799     7.169112433306927e-05     
Lambda        AB|SDSS|SDSS_u            3040.2899476065195    All      -8.28735016661757e-05     4.2448678374047546e-05     0.00016655522196585708     4.825415161222987e-05     
Lambda        AB|SDSS|SDSS_r            5223.9583856961       All      0.0002831871443883952     0.00010557225658289021     -0.00018746167053265207    -6.622056569005808e-05    
MWEBV         All|All|All               All                   All      -0.7400207192703667       -3.22136185427766          0.3683627232575256         -0.7918161048602648       
Redshift      All|All|All               All                   All      4.885014416373232         -0.17462962182079877       -4.483531994136921         -1.848171961365078        
