#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3639.0137887948467    All      -0.4808014482579262       0.28438907736632046       0.23041338648096907        0.2595300194046057         
Zeropoint     AB|PS|PS_i                5597.395740003982     All      0.7265304011582977        0.10701572244986579       -1.6016934032936927        -0.2732725325601524        
Zeropoint     AB|PS|PS_r                4621.300473982185     All      -0.378658469561983        0.5741259959020084        0.0421979651525103         0.3122363474559887         
Zeropoint     AB|PS|PS_z                6432.773508028762     All      1.1258713809297645        0.03440590855579018       1.3360450869552067         -0.29590465650199055       
Check         All|All|All               All                   All      0.9929418642681529        0.9999367042739848        0.006963035294993425       0.0025891777984514697      
Lambda        AB|PS|PS_g                3639.0137887948467    All      -0.000829516681760814     0.0004569435689604737     7.897619438752967e-05      0.0004225667717760193      
Lambda        AB|PS|PS_i                5597.395740003982     All      -7.458886945872153e-05    -4.561660291416188e-05    -0.0007240299644290216     -2.2872911590298477e-05    
Lambda        AB|PS|PS_r                4621.300473982185     All      -3.2176686583815e-05      -0.0001675554312665662    -0.0009646641786084932     -8.714584272055857e-05     
Lambda        AB|PS|PS_z                6432.773508028762     All      6.454873245991682e-05     -1.468331284041007e-05    -0.00016658573213497235    -3.324243993577137e-05     
MWEBV         All|All|All               All                   All      -0.44852988461282584      -2.7418431440880298       0.027082245586641362       -0.7457990201400112        
Redshift      All|All|All               All                   All      4.2468753945362           0.37387461901428054       0.9953392786059615         -1.2171463499520858        
