#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3639.0137887948467    All      -0.5539105054290281        0.2993982169614995         0.2046820404685512        0.2870847433012115         
Zeropoint     AB|PS|PS_i                5597.395740003982     All      0.7780347821660979         0.0969852673978977         -1.4689601816590958       -0.2873931790408783        
Zeropoint     AB|PS|PS_r                4621.300473982185     All      -0.3488855429125064        0.5269875703772797         -0.4441219594322199       0.265481565096929          
Zeropoint     AB|PS|PS_z                6432.773508028762     All      1.1184044778674676         0.07600151114477427        1.7123620967328446        -0.26313008451801095       
Check         All|All|All               All                   All      0.993643211692031          0.9993725658814512         0.003961996110080079      0.002043044839251218       
Lambda        AB|PS|PS_g                3639.0137887948467    All      -0.0007560689340714196     0.0004713839503727057      0.0008624106578866607     0.0004383072132164814      
Lambda        AB|PS|PS_i                5597.395740003982     All      -9.681703030751674e-05     -6.20140473079917e-05      -0.0009872686855969981    -3.2720790530053336e-05    
Lambda        AB|PS|PS_r                4621.300473982185     All      -3.76228521404653e-05      -0.00019391175276239976    -0.0009963972722786029    -9.537307065931696e-05     
Lambda        AB|PS|PS_z                6432.773508028762     All      -0.00021283577720607937    -6.261857578022918e-05     -0.0011291503794002616    -1.4581109289855528e-06    
MWEBV         All|All|All               All                   All      -0.46809664466316114       -2.7430045001940684        -0.04949398917286629      -0.7432210202109414        
Redshift      All|All|All               All                   All      4.872768331271498          0.5083021037547653         0.5019469688697376        -1.399250649114521         
