#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6954.40256154822     All      0.4547873122554261         -0.15463307724719044       -0.9901663716553957        -0.24269484769361754       
Zeropoint     AB|PS|PS_z                7992.305464909459    All      0.5087833603875286         -0.05430191919195693       0.6150366026242089         -0.15596914170031562       
Zeropoint     AB|PS|PS_r                5741.667258624606    All      1.1563174459245773         0.23755385003170204        0.5588557077492469         -0.2743323661013774        
Zeropoint     AB|PS|PS_g                4521.23951741282     All      -1.1196193081761816        0.9697631056583944         -0.17896612315007435       0.6725941547110802         
Check         All|All|All               All                  All      1.0002688103913504         0.9983819592509491         0.004759815567985742       -0.00040220078423036654    
Lambda        AB|PS|PS_i                6954.40256154822     All      -0.0002800999127544994     5.325880932489734e-05      9.359582781347742e-05      0.00011276265488268507     
Lambda        AB|PS|PS_z                7992.305464909459    All      -0.00010509753901159679    2.706173732634561e-05      3.3595930533295484e-05     4.45478562934866e-05       
Lambda        AB|PS|PS_r                5741.667258624606    All      -0.0002260134684972729     -3.5300792929972364e-05    -0.00011790750716806658    5.685972217761414e-05      
Lambda        AB|PS|PS_g                4521.23951741282     All      -0.00013891585790219737    -2.8028051750078554e-05    -0.0007210365755662305     3.943255797897471e-06      
MWEBV         All|All|All               All                  All      -0.6022071305869781        -3.7653652171828256        0.08996510025680211        -1.0263299243845816        
Redshift      All|All|All               All                  All      0.3617721646368914         0.7868640723661002         -6.404671645736726         -0.14734466050056114       
