#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6954.40256154822     All      0.5164932339946168         -0.1643224680655031        -0.9279297784504315        -0.26317331651720816       
Zeropoint     AB|PS|PS_z                7992.305464909459    All      0.49591384490013984        -0.044681869495466486      0.690734361735712          -0.1452655071132944        
Zeropoint     AB|PS|PS_r                5741.667258624606    All      1.1754343841774957         0.25011399546892576        0.657131836986069          -0.27208251695162167       
Zeropoint     AB|PS|PS_g                4521.23951741282     All      -1.1881744900577362        0.957170671251184          -0.41780931720121206       0.6801645878997897         
Check         All|All|All               All                  All      0.999666973014516          0.9982803291591402         0.002127103070137526       -0.00035675268233448243    
Lambda        AB|PS|PS_i                6954.40256154822     All      -0.00030474648741778273    6.17165848900634e-05       9.762509585886902e-05      0.00012372563857997109     
Lambda        AB|PS|PS_z                7992.305464909459    All      -1.465862277690941e-05     1.7596718339539418e-05     0.00016828678350676275     1.801649200549685e-05      
Lambda        AB|PS|PS_r                5741.667258624606    All      -0.0002885426578871128     -6.447630048533212e-05     -0.00020195621144992066    6.397340600428064e-05      
Lambda        AB|PS|PS_g                4521.23951741282     All      -3.142398861543359e-05     -0.00013228129063498083    -0.0006972891474018331     -6.396935348977147e-05     
MWEBV         All|All|All               All                  All      -0.6126378159999311        -3.7619093065774045        0.09229727371826701        -1.0217025290156583        
Redshift      All|All|All               All                  All      0.35312811329684285        1.281903793705208          -6.880776566235058         -0.004524660966070959      
