#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5340.269736496903    All      2.3194843032467833         0.3522865375750861         0.6766120385449049        -0.610586943449852        
Zeropoint     VEGAHST|UVOT|UVOT_u       3429.130119816302    All      -0.5398108918107386        0.15387227092418243        0.24082139343527942       0.2367021803373141        
Zeropoint     VEGAHST|UVOT|UVOT_b       4298.323760973991    All      -0.7927904229433154        0.495302476184456          -0.9049565370947882       0.3791901803080734        
Check         All|All|All               All                  All      0.9868829884927298         1.0014612846837245         0.012476894885396161      0.005305417195535511      
Lambda        VEGAHST|UVOT|UVOT_v       5340.269736496903    All      0.000773387324882538       0.00011312132571251789     -0.002510273298795662     -0.0003270923260928423    
Lambda        VEGAHST|UVOT|UVOT_u       3429.130119816302    All      -0.00019690166388803865    -2.9084756492332493e-05    0.00044552490594815925    7.454521808162997e-05     
Lambda        VEGAHST|UVOT|UVOT_b       4298.323760973991    All      -0.0005666014915663147     -2.3143376188596138e-05    -0.0029091233121179877    4.7201375119724506e-05    
MWEBV         All|All|All               All                  All      -1.393870546209666         -3.874872731871548         0.21001598650683012       -0.7987719855082887       
Redshift      All|All|All               All                  All      0.2990953809571531         -0.51316171317346          3.372842234678518         -0.11406439999337334      
