#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5340.269736496903    All      1.9997415396041653        0.36507817204061155       0.24681615091139975       -0.5214493664132548       
Zeropoint     VEGAHST|UVOT|UVOT_u       3429.130119816302    All      -0.6625566701341481       0.16080695710627424       0.02151496379285689       0.2691567352703726        
Zeropoint     VEGAHST|UVOT|UVOT_b       4298.323760973991    All      -0.33353206176071587      0.4687870738304234        -0.23383357280746253      0.25090681958192734       
Check         All|All|All               All                  All      1.0036528077093014        0.9946722029773092        0.034497541896794104      -0.0013858115609548527    
Lambda        VEGAHST|UVOT|UVOT_v       5340.269736496903    All      0.0013186295067760386     0.00014038594036645504    -0.0003813437252810207    -0.0004008103116524702    
Lambda        VEGAHST|UVOT|UVOT_u       3429.130119816302    All      -3.867683880189737e-05    -5.522704483421552e-05    2.080698365336599e-05     -4.462426472901304e-06    
Lambda        VEGAHST|UVOT|UVOT_b       4298.323760973991    All      -0.0004125186616660136    -4.129873187936505e-05    -0.002526112861085344     8.189728930930416e-06     
MWEBV         All|All|All               All                  All      -1.5562841280919382       -3.8614904015295437       -0.006135480392099879     -0.751155320603037        
Redshift      All|All|All               All                  All      0.30769494778051487       -0.41635061858418254      6.379515013862314         0.0488429936594266        
