#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4450.958798162365     All      0.16365155512923862        0.32269493645973313       1.3913045045994974        0.11389319168098556        
Zeropoint     AB|PS|PS_i                5391.075078547967     All      0.046695589550441036       0.12215741405867675       -2.2084644788019836       -0.07397322771584237       
Zeropoint     AB|PS|PS_g                3504.8793150455995    All      -0.5918472724131388        0.31955530305225466       -0.2993646474906073       0.28351453379777863        
Zeropoint     AB|PS|PS_z                6195.660724366216     All      1.3759893926395788         0.23401674196819044       1.1176183605203958        -0.32210388771338566       
Check         All|All|All               All                   All      0.9944892649061194         0.998424395538855         0.0010937388273022375     0.0013306100495361628      
Lambda        AB|PS|PS_r                4450.958798162365     All      -8.987547210878333e-05     -0.0001211040820055597    -0.0006771779296817163    -4.0391526470088445e-05    
Lambda        AB|PS|PS_i                5391.075078547967     All      -0.0002738007269484867     4.719583844268992e-06     -0.0029187217884828393    -3.952591994442781e-05     
Lambda        AB|PS|PS_g                3504.8793150455995    All      -0.0007054169571114996     0.0004163979948223729     -0.0002264830059608166    0.0003553051401033357      
Lambda        AB|PS|PS_z                6195.660724366216     All      -0.00025169379644494867    -7.553035917184708e-05    -0.0018762382760567926    -2.6345669884911725e-05    
MWEBV         All|All|All               All                   All      -0.5249822884499404        -2.551271551971901        -0.18219926740413123      -0.6681597925590641        
Redshift      All|All|All               All                   All      5.496290008480833          -0.03768405009747511      10.461604648312411        -1.3357440461757355        
