#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4450.958798162365     All      0.22910789307855212        0.3327576277207811        1.6882269264682392        0.10909994253041622       
Zeropoint     AB|PS|PS_i                5391.075078547967     All      0.02909366487681697        0.09260483698696476       -2.4571214425422427       -0.08896236661828649      
Zeropoint     AB|PS|PS_g                3504.8793150455995    All      -0.7174005260672918        0.3355343607422512        -0.4847974360038032       0.32134125018795506       
Zeropoint     AB|PS|PS_z                6195.660724366216     All      1.4708666497831542         0.2285431472174082        1.2495251375999272        -0.3489050679851974       
Check         All|All|All               All                   All      1.0116676816712313         0.9894399726674052        -0.004166814477879477     -0.007426241885112594     
Lambda        AB|PS|PS_r                4450.958798162365     All      -0.0001572568406507507     -0.0001749829860489134    -0.0011304422905680683    -5.622043622344888e-05    
Lambda        AB|PS|PS_i                5391.075078547967     All      -0.00037676110260005023    -4.641423949823318e-05    -0.0039019090391247658    -6.651943819487813e-05    
Lambda        AB|PS|PS_g                3504.8793150455995    All      -0.0006810881797949514     0.0002521645060070353     -0.0008231026222033844    0.0002672598132117665     
Lambda        AB|PS|PS_z                6195.660724366216     All      -0.0009919363366310096     -0.0002084409319176583    -0.004153150475245683     6.987419856830386e-05     
MWEBV         All|All|All               All                   All      -0.5489911681532393        -2.5479744919060465       -0.22977852219543404      -0.6613885932552382       
Redshift      All|All|All               All                   All      7.155841876279082          1.092548730297338         18.686050409935383        -1.1411414461956342       
