#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6117.157350412541     All      0.9237250768277394         0.00039280459596113815     -0.3002336275701789       -0.31415774567064914       
Zeropoint     AB|PS|PS_g                3460.4700318759387    All      -0.6959241134758993        0.17480030378695943        -0.6286836481361191       0.2555683249082119         
Zeropoint     AB|PS|PS_i                5322.766369964366     All      1.0745582834951029         0.28148997058270453        0.2050841134192738        -0.24917647862343906       
Zeropoint     AB|PS|PS_r                4394.562023301798     All      -0.3115691184178919        0.541595775786341          0.7123538683430852        0.3096929557547999         
Check         All|All|All               All                   All      0.990790128429051          0.9982788547519661         -0.011479293943938984     0.0019270563689235964      
Lambda        AB|PS|PS_z                6117.157350412541     All      -3.4109015037385055e-05    -3.439154949266561e-05     -0.000545361988487868     -2.4429031556390384e-05    
Lambda        AB|PS|PS_g                3460.4700318759387    All      -0.0009858235616703808     0.00020100103635856709     -0.0010866186813643264    0.0003380970158573405      
Lambda        AB|PS|PS_i                5322.766369964366     All      -0.00025352462046591734    -3.079085860994704e-05     -0.0027571857773661355    -5.048882398800986e-05     
Lambda        AB|PS|PS_r                4394.562023301798     All      6.035198612885364e-05      -0.00014976132820369655    -0.0007620493946542843    -0.00010244758351797628    
MWEBV         All|All|All               All                   All      -0.4427506230579996        -2.5580459932180943        -0.180536065033865        -0.6970777886220633        
Redshift      All|All|All               All                   All      4.799410719959103          0.9752784177525342         15.862396724011607        -0.537779788604879         
