#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6117.157350412541     All      0.8235418091835784         0.009098319985056946      -0.6046841149689407       -0.2922753136642562       
Zeropoint     AB|PS|PS_g                3460.4700318759387    All      -0.6178072344306732        0.14870545970424587       -0.6186784700348772       0.22206962336812408       
Zeropoint     AB|PS|PS_i                5322.766369964366     All      0.9461113454009009         0.27030625850414935       0.12821555468087256       -0.21441027879657068      
Zeropoint     AB|PS|PS_r                4394.562023301798     All      -0.16173124089627844       0.5707447510907571        1.0901622084194027        0.2872404607623758        
Check         All|All|All               All                   All      0.9901146792575278         0.9988547892842092        -0.004984821903542658     0.0026244916696729903     
Lambda        AB|PS|PS_z                6117.157350412541     All      -0.00023584657274510954    -5.161037810150376e-05    -0.0008802024162167058    2.0732398573914362e-05    
Lambda        AB|PS|PS_g                3460.4700318759387    All      -0.0008650333652283369     0.00018039338966255238    -0.001074332387992928     0.00029258736734067044    
Lambda        AB|PS|PS_i                5322.766369964366     All      -1.5054799308836047e-05    -9.47287740083905e-06     -0.0019588657376989884    -8.559696552337604e-05    
Lambda        AB|PS|PS_r                4394.562023301798     All      -0.00018092448926074816    -0.0001419397370255217    -0.0011496142231405314    -3.860338642834734e-05    
MWEBV         All|All|All               All                   All      -0.49514504762870715       -2.540189196075815        -0.1832974746385151       -0.6743178835415584       
Redshift      All|All|All               All                   All      4.292088669593939          0.76303821302659          11.979100424828514        -0.6149556020735644       
