#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.1123070458306747         -0.025630385747632545      -0.07132622202496017       -0.37384662019404785       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.37940650479238813        -0.035597421546462726      0.11492113319140719        -0.1300520296715401        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5225.147927654023     All      0.5670787394828736         0.22353779176196298        0.025752919324522207       -0.11075335432359969       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.32067962857217597       0.44403526344218847        0.08096061593530494        0.2527056991522805         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.26216218138320413       0.0942487601600206         -0.05270509450169906       0.11374278293045342        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.4820330732706999        0.2975788899932219         -0.09749642213553315       0.24959444737177647        
Check         All|All|All                              All                   All      0.9939174068798565         0.9981728980632987         0.00010692978904196238     0.0013909252653227788      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -0.00020277401476861658    -2.8171986002200106e-05    -0.0006573142072307748     2.7540710871596197e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -0.00010602812344902723    -1.106367936890674e-05     -0.00034274435169221704    1.5637937426152036e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5225.147927654023     All      0.00011478900086213659     2.574080311856111e-05      -0.000667574089609705      -5.8796693166158e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -8.718378643036536e-05     -6.151243862932614e-05     -0.0006484309856652926     -2.0574494213389535e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.0004407256278949842     0.00012286119759562242     -0.00018483522304343938    0.00017533042343115813     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.00023843516041600584    8.792942600492093e-05      -0.0003666943536707238     8.99437980351914e-05       
MWEBV         All|All|All                              All                   All      -1.0276869759964193        -3.8981489545090398        -0.02392107474509183       -0.9360713894959929        
Redshift      All|All|All                              All                   All      6.243905390938961          0.7868398018739953         9.286073139330918          -1.3631509996666547        
