#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.0707740116345978         -0.005251812793360955      -0.02327219854336704       -0.3515355425499675       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.37036398834172446        -0.028184186053081817      0.1268080546275474         -0.12416139117616687      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5225.147927654023     All      0.561584734091612          0.21571465584369065        -0.028929659335230618      -0.11395226109995049      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.28111377878374844       0.4422609034310909         0.16310862522839198        0.24290572113066095       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.265561625180868         0.09222943095057445        -0.06683428860292384       0.1135618106165609        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.46250741368133585       0.28141782648694047        -0.17037737088902993       0.23471776558842972       
Check         All|All|All                              All                   All      0.9935399164219822         0.9981868178658537         0.0005031624853879535      0.0015361025095666503     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -0.00017100961693428227    -1.0911000764591094e-05    -0.0002841119530678364     3.947077478807739e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -7.80969456638769e-05      -6.058705939716874e-06     -0.00021774198998479477    1.3748399705616656e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5225.147927654023     All      4.316070167926158e-05      1.1185253006181207e-05     -0.0008239284256217424     -4.718359706295085e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -9.367516277078803e-05     -9.924570406772233e-05     -0.0007509847408864472     -3.532750840338032e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.0003130818689019515     7.817567153359104e-05      -0.0001303665895037246     0.00012162779077313757    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.00021936735533480565    5.445641693622918e-05      -0.000517471081407867      6.610105345868309e-05     
MWEBV         All|All|All                              All                   All      -1.0573281498464806        -3.8887685428658614        -0.027085229758472273      -0.9235019770346228       
Redshift      All|All|All                              All                   All      6.015979187292296          1.1610997643730414         8.467466502705067          -1.2035298084849058       
