#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4218.240054683627    All      -0.7349959061827052        0.5659737388940655         -0.5644777232712866       0.3985785657943337        
Zeropoint     AB|SDSS|SDSS_u            3207.914823812728    All      -0.13050289175827332       0.08609705209021712        0.13881177205382622       0.07674825948529793       
Zeropoint     AB|SDSS|SDSS_r            5511.978736649162    All      0.7856225791995088         0.3265610597310342         -0.4155960920369184       -0.16807758439007572      
Zeropoint     AB|SDSS|SDSS_i            6684.237613954105    All      0.8949524905158556         0.02836454352372897        0.7146727823515664        -0.25038364032897786      
Zeropoint     AB|SDSS|SDSS_z            7947.001333949933    All      0.17780560375416762        -0.005796492675713694      0.13642718747757798       -0.05371712434705314      
Check         All|All|All               All                  All      0.9928818755285534         1.0011999015633322         0.009837926574765565      0.003148476213524959      
Lambda        AB|SDSS|SDSS_g            4218.240054683627    All      -0.0005710990991450414     0.0002082170823707639      -0.0015252682112086105    0.00018578320409779337    
Lambda        AB|SDSS|SDSS_u            3207.914823812728    All      -6.889375276587217e-05     4.5471898987800596e-05     7.060798506103599e-05     4.0403565376884265e-05    
Lambda        AB|SDSS|SDSS_r            5511.978736649162    All      0.00011165558433988366     -9.100341037917505e-06     -0.0007295487855653104    -7.189058925089534e-05    
Lambda        AB|SDSS|SDSS_i            6684.237613954105    All      -0.00040162622791195215    -2.4554227339679416e-05    -0.0004925876656088807    0.00010084283074392707    
Lambda        AB|SDSS|SDSS_z            7947.001333949933    All      3.3433237456495962e-06     3.7009647959240576e-06     3.7339602033622854e-05    1.7827904002869032e-06    
MWEBV         All|All|All               All                  All      -0.8254786732488828        -3.4202245565278844        0.4209244827702713        -0.8264101723581351       
Redshift      All|All|All               All                  All      2.416963478946903          0.23924648850819352        -0.6919685617856886       -0.7402334473626544       
