#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4710.211868343544     All      -0.40629625929560126       0.45737497625495394       -0.2135271775984271       0.271797398117124         
Zeropoint     AB|PS|PS_i                5705.08669471207      All      0.6930590922360126         0.10537538586348205       -1.984723461676119        -0.2799970099746446       
Zeropoint     AB|PS|PS_z                6556.536692316322     All      1.173904031614699          0.00906807071512361       1.5440084875180782        -0.31052338700638393      
Zeropoint     AB|PS|PS_g                3709.0265031559966    All      -0.4645391738334268        0.42844517608102706       0.6650845193207355        0.3205540485542002        
Check         All|All|All               All                   All      0.9961276907216835         1.0002636089145867        0.010842367564267708      0.001831049690295683      
Lambda        AB|PS|PS_r                4710.211868343544     All      -9.433293488835952e-05     5.392595837568112e-05     -0.0003717538561788077    3.1703131911252115e-05    
Lambda        AB|PS|PS_i                5705.08669471207      All      -4.8660484486469645e-05    7.912290881115813e-05     0.0009538512237389599     8.418925438106362e-05     
Lambda        AB|PS|PS_z                6556.536692316322     All      -0.0006597028970711357     -5.587869252372775e-05    -0.00134930287807466      0.00013647221832285977    
Lambda        AB|PS|PS_g                3709.0265031559966    All      -0.0010177551712509314     0.0006860253469408756     -7.085847307456291e-05    0.0005518152792770658     
MWEBV         All|All|All               All                   All      -0.4385065185376589        -2.8246918813216837       0.062893269474662         -0.7744524380670997       
Redshift      All|All|All               All                   All      4.534050334805881          -0.6118481496148576       -3.308903289691767        -1.8238495879832284       
