#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4710.211868343544     All      -0.29261185699706643      0.4210223661896606         -0.23860721360654727       0.22180620030053097       
Zeropoint     AB|PS|PS_i                5705.08669471207      All      0.7929520625969901        0.12449415691193622        -1.35507695435291          -0.27820959232293246      
Zeropoint     AB|PS|PS_z                6556.536692316322     All      1.041036573656378         0.05494798071978835        1.2875610208168475         -0.2637435612653686       
Zeropoint     AB|PS|PS_g                3709.0265031559966    All      -0.5458095967482973       0.3989014687125092         0.3124151696954084         0.3216651282439992        
Check         All|All|All               All                   All      0.9955671825080045        0.9993659725338944         0.006292022552798593       0.0015181749562290792     
Lambda        AB|PS|PS_r                4710.211868343544     All      -6.736887490044016e-05    -2.4216097195198985e-05    -0.00048603178893941114    -7.63308709428604e-06     
Lambda        AB|PS|PS_i                5705.08669471207      All      -0.0002699867566274268    -5.487143817496203e-05     0.0002268983330807793      8.019556680277902e-05     
Lambda        AB|PS|PS_z                6556.536692316322     All      -0.0005976714704166641    -5.147711159381638e-05     -0.0009644182159052225     0.00013487591636606914    
Lambda        AB|PS|PS_g                3709.0265031559966    All      -0.0008999170022069782    0.0005393991728915955      -0.00023261014017853632    0.000458452308108832      
MWEBV         All|All|All               All                   All      -0.4602426011397944       -2.8094594407038542        0.08013155223312175        -0.7616413084391277       
Redshift      All|All|All               All                   All      4.665532628707287         0.27627870923652154        -1.8715137236851607        -1.5132414656728446       
