#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5859.14107020416     All      1.0141572595804662        0.18655103922213812        -0.36626036134007367      -0.28592309116023396      
Zeropoint     AB|PS|PS_z                8155.82705959273     All      0.29861110792092116       -0.07253138861855746       0.14475393898498584       -0.11443361788225914      
Zeropoint     AB|PS|PS_g                4613.743526309674    All      -1.0076632732991264       1.0572272868941468         0.15082162668722288       0.6793332648369454        
Zeropoint     AB|PS|PS_i                7096.68878946164     All      0.6841223234133181        -0.17064774421964302       0.05940997723883519       -0.2757755377039872       
Check         All|All|All               All                  All      0.9892274176155793        1.0005991932780844         -0.011274818429029762     0.0032010180904651353     
Lambda        AB|PS|PS_r                5859.14107020416     All      -0.0002501109091694613    0.000154122405231878       -0.0012714083151000768    7.493497564580741e-05     
Lambda        AB|PS|PS_z                8155.82705959273     All      0.00011007099876544738    -2.2490742667230576e-05    0.00024036865640486072    -3.245317117433617e-05    
Lambda        AB|PS|PS_g                4613.743526309674    All      -0.0003666547115755504    0.00024338330479419985     -0.0006205755975308728    0.00017101601286906212    
Lambda        AB|PS|PS_i                7096.68878946164     All      -0.0004980690844000791    7.011744891485862e-05      -0.0012676618566886358    0.00012850712017869532    
MWEBV         All|All|All               All                  All      -0.6353663762664006       -3.8784789824674704        0.0756290691105669        -1.0530134930726132       
Redshift      All|All|All               All                  All      6.458658493861083         -2.3028950165437934        11.869023387659364        -2.3242662235490372       
