#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5859.14107020416     All      1.0314751924503482         0.1658927727259396        -0.3171790558066177       -0.29610291542993983       
Zeropoint     AB|PS|PS_z                8155.82705959273     All      0.3441963940849341         -0.0709204271480246       0.19033532174832346       -0.12672341438222748       
Zeropoint     AB|PS|PS_g                4613.743526309674    All      -1.0989097429510444        1.0653363542123984        0.0023805011731729536     0.7050723862619439         
Zeropoint     AB|PS|PS_i                7096.68878946164     All      0.7222002165174575         -0.1618559898753702       0.12639467097679202       -0.28232577735146813       
Check         All|All|All               All                  All      0.998962060101695          0.9984527099149432        0.001931438091670734      -7.972090169150459e-05     
Lambda        AB|PS|PS_r                5859.14107020416     All      -0.00027987134280792853    6.073681978768335e-05     -0.0009525813433092254    6.843795392907101e-05      
Lambda        AB|PS|PS_z                8155.82705959273     All      8.768642868741072e-05      -2.195879525269e-05       0.00028699712844592966    -2.2907692945605328e-05    
Lambda        AB|PS|PS_g                4613.743526309674    All      -0.00026455720295776334    4.6443513429497406e-05    -0.0008421113968567426    6.372360098302509e-05      
Lambda        AB|PS|PS_i                7096.68878946164     All      -0.0004955259319569825     7.258520181895536e-05     -0.0011439052948208905    0.00013400524703109963     
MWEBV         All|All|All               All                  All      -0.6529648552996896        -3.870328809588397        0.04647873966008529       -1.0459271553600247        
Redshift      All|All|All               All                  All      6.239582677527949          -1.2841598109215369       9.300987531000814         -2.0356700966457244        
