#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5777.44644343779      All      1.2495609084928332         0.3175575391679786         -0.08429390972077702      -0.30734580943211764       
Zeropoint     AB|PS|PS_r                4769.953247480542     All      -0.43169824245640964       0.03380079601988939        -3.2119735410797987       0.008292724217708977       
Zeropoint     AB|PS|PS_z                6639.695699874736     All      0.7285052328134669         0.05974668002792782        1.7028236743586542        -0.14184746234475681       
Zeropoint     AB|PS|PS_g                3756.0694737797667    All      -0.5469988227978313        0.589418167805178          1.612581436315999         0.44213050403202           
Check         All|All|All               All                   All      0.9993690760520589         1.0005231830209738         0.01913765987407734       0.0012299564728545098      
Lambda        AB|PS|PS_i                5777.44644343779      All      -0.0002679230445796969     -0.00010215192616669819    0.0002416006479247936     6.477863426016138e-05      
Lambda        AB|PS|PS_r                4769.953247480542     All      -0.00012092898625978842    2.0850175750532487e-05     -0.0011113559717714667    -3.4125752841596313e-06    
Lambda        AB|PS|PS_z                6639.695699874736     All      -0.0004583247460571506     -8.903071132761583e-05     -0.0013140592158370162    6.165078897715425e-05      
Lambda        AB|PS|PS_g                3756.0694737797667    All      -0.0007275761800509659     0.0007039758124199641      0.0014145920230562144     0.0005294303256122578      
MWEBV         All|All|All               All                   All      -0.47686534583582274       -2.8524693083117114        0.16612550382046382       -0.7663989473786597        
Redshift      All|All|All               All                   All      3.477566139072284          0.0929917859455287         -0.37708045534485896      -1.1192945848563522        
