#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5777.44644343779      All      1.3059229139106874         0.32995604715360116        0.7051554255869646        -0.2864366688767661       
Zeropoint     AB|PS|PS_r                4769.953247480542     All      -0.4749255659781091        -0.01869476875615561       -3.915714740190665        -0.026130984424810322     
Zeropoint     AB|PS|PS_z                6639.695699874736     All      0.7094848443796178         0.12204200135812471        1.6933846552356773        -0.11578148053882908      
Zeropoint     AB|PS|PS_g                3756.0694737797667    All      -0.5402083559898241        0.5656250241958816         1.5319988938614582        0.42857238718069235       
Check         All|All|All               All                   All      1.0002738363223718         0.9989283039514518         0.014824234493435062      0.00022325334028683308    
Lambda        AB|PS|PS_i                5777.44644343779      All      -0.00048641371323711075    -0.00026122198504211234    -0.0008633100820260172    3.482679053988081e-05     
Lambda        AB|PS|PS_r                4769.953247480542     All      -7.796411827364221e-05     3.790240183257882e-05      -0.0004790962771462307    1.6361671054458445e-05    
Lambda        AB|PS|PS_z                6639.695699874736     All      -0.00041877210697854753    -8.579909803622802e-05     -0.0010544164667094394    6.140649934955255e-05     
Lambda        AB|PS|PS_g                3756.0694737797667    All      -0.000611176572435981      0.000441768149878506       6.513830480738686e-05     0.0003458855602843971     
MWEBV         All|All|All               All                   All      -0.4882300069320187        -2.8347803174220587        0.2420775575703804        -0.7535458257664163       
Redshift      All|All|All               All                   All      3.790355830434796          0.9858108400742083         0.5269289617682027        -0.8900181506834998       
