#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4862.8406374065535    All      0.1643810287093844         0.2815194155301626         -0.7602023817220142       0.004231485512984435       
Zeropoint     AB|PS|PS_z                6768.993403953929     All      0.9766528952138296         0.10416022332258024        1.852413535202238         -0.20153485914284783       
Zeropoint     AB|PS|PS_i                5889.953189882675     All      0.5870644158632407         0.057610607516522805       -1.717274059665983        -0.2490945780198559        
Zeropoint     AB|PS|PS_g                3829.213060665959     All      -0.7308274115250066        0.5553873804341691         0.6324612064078511        0.44718631180359986        
Check         All|All|All               All                   All      0.9972709282614479         0.9986776268034347         0.00739830022209198       0.0007883601538805629      
Lambda        AB|PS|PS_r                4862.8406374065535    All      -0.00013160670531027404    -2.5905784677734773e-05    -0.0011534579702439968    -1.7043264264132993e-05    
Lambda        AB|PS|PS_z                6768.993403953929     All      -0.0008390526094060943     -9.2302627193008e-05       -0.0015519680691764822    0.00017398382955567044     
Lambda        AB|PS|PS_i                5889.953189882675     All      -6.530766543404026e-05     -8.716221953615158e-07     0.000642628804427159      4.9666511219934707e-05     
Lambda        AB|PS|PS_g                3829.213060665959     All      -0.0008874856412843256     0.0006153284746932713      3.301029249203746e-05     0.000490989096432901       
MWEBV         All|All|All               All                   All      -0.481236376294774         -2.9507213068360016        0.11148070516926792       -0.7994176136589701        
Redshift      All|All|All               All                   All      6.063236174991453          0.8594526097796873         12.411963229920831        -1.1411545937174632        
