#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4862.8406374065535    All      0.2912867377826619         0.2739781809815156         -0.7370534470095336       -0.03852927656073368      
Zeropoint     AB|PS|PS_z                6768.993403953929     All      0.8578196617235379         0.09949833929532304        1.4840295679709625        -0.18078477902807588      
Zeropoint     AB|PS|PS_i                5889.953189882675     All      0.6782120411208057         0.08155426989446823        -1.138042900862618        -0.24513669336954924      
Zeropoint     AB|PS|PS_g                3829.213060665959     All      -0.8307947874387125        0.5436760883336333         0.3949694799255332        0.46533605684760393       
Check         All|All|All               All                   All      0.9965236531882928         0.9987068785049402         0.003902700024344119      0.0008853078892451238     
Lambda        AB|PS|PS_r                4862.8406374065535    All      -0.00014059619277820458    -6.657194897061381e-05     -0.0010101489267876833    -2.096617562290614e-05    
Lambda        AB|PS|PS_z                6768.993403953929     All      -0.0008326935110703515     -9.972905784837069e-05     -0.0013847821665900865    0.0001769541682081886     
Lambda        AB|PS|PS_i                5889.953189882675     All      -0.00016325301758724387    -1.2361336941440988e-05    0.0005747094313138783     7.479702694977337e-05     
Lambda        AB|PS|PS_g                3829.213060665959     All      -0.0007906555490752025     0.00045670807564402897     -0.0003205135202364056    0.0003920043232725876     
MWEBV         All|All|All               All                   All      -0.500909228521655         -2.942748204032597         0.09745347468679277       -0.7910383874523946       
Redshift      All|All|All               All                   All      6.132100372609782          1.446190986163387          12.275194645024623        -0.9785692899276943       
