#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4446.203838973387     All      -0.12396850619637545       0.6616735709638277         1.1704712105670394        0.3081422257354683         
Zeropoint     AB|PS|PS_z                6189.041900146752     All      1.4987884118486643         0.15329683868969823        0.8915521113102925        -0.3984849947587805        
Zeropoint     AB|PS|PS_g                3501.1350525482217    All      -0.4270972740203975        0.1261177924137158         -0.33418694432034435      0.16528711891277725        
Zeropoint     AB|PS|PS_i                5385.315793156739     All      0.042358574188509496       0.058439431629331295       -1.7306349816691906       -0.07199222639995354       
Check         All|All|All               All                   All      0.9900812058204009         0.999527633696573          -0.002798604112203229     0.002952123489511488       
Lambda        AB|PS|PS_r                4446.203838973387     All      -0.0006640916434387935     -0.0002731735150939616     -0.002310346235126124     2.4234753789105213e-05     
Lambda        AB|PS|PS_z                6189.041900146752     All      -1.4078039245953489e-05    -0.00013388256009246353    -0.0016428051078260422    -0.00011233512072269635    
Lambda        AB|PS|PS_g                3501.1350525482217    All      -0.001352345177928635      0.00015006637410350297     -0.0023812837204929623    0.0003831191147637141      
Lambda        AB|PS|PS_i                5385.315793156739     All      -5.361058855218585e-05     -2.3165664234304018e-07    -0.0014775927020905816    -4.855090171875144e-05     
MWEBV         All|All|All               All                   All      -0.4674467769539339        -2.5840867517171517        -0.09416554200895877      -0.6936614508203405        
Redshift      All|All|All               All                   All      7.669733336681137          1.7205657441095923         18.647111573818805        -1.1057046602470253        
