#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4446.203838973387     All      -0.020707693126315485      0.6933381725712451         1.5305732574710653        0.30089068468113894       
Zeropoint     AB|PS|PS_z                6189.041900146752     All      1.4293711545007972         0.08846590282924893        0.5125110381793194        -0.41390594118598745      
Zeropoint     AB|PS|PS_g                3501.1350525482217    All      -0.5679728189042874        0.15262682677139594        -0.575442135083625        0.2090436720420934        
Zeropoint     AB|PS|PS_i                5385.315793156739     All      0.15006868496848738        0.06505431073655643        -1.4718396269960277       -0.0933734212151097       
Check         All|All|All               All                   All      0.9907593274386817         0.9994852129084464         -0.004197466429268104     0.0026549943221351874     
Lambda        AB|PS|PS_r                4446.203838973387     All      -0.0004824399316234668     -0.0002732634994102924     -0.002033341597182869     -2.260305101005819e-05    
Lambda        AB|PS|PS_z                6189.041900146752     All      -0.00025838225037788437    -0.00018086284188592396    -0.002204480077294116     -7.312519938023894e-05    
Lambda        AB|PS|PS_g                3501.1350525482217    All      -0.0010840392489338592     0.0002624155380168406      -0.0011302405631719616    0.00038814717582936196    
Lambda        AB|PS|PS_i                5385.315793156739     All      -0.00017858533537420374    -6.729694851467722e-05     -0.0020472559329903013    -5.510934070363023e-05    
MWEBV         All|All|All               All                   All      -0.4781813903167653        -2.60349117934755          -0.19605729064160757      -0.7010324553253047       
Redshift      All|All|All               All                   All      7.3806458899895055         1.7213632154859937         17.52532808827566         -1.0613396502963346       
