#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3638.20583724316     All      -0.4776159886598432        0.1827096491821223         -0.40109803457689663      0.1971906212068178         
Zeropoint     AB|PS|PS_i                5596.152978960464    All      1.1424460484215435         0.2648868404302007         -0.08605671834651663      -0.2896902209787673        
Zeropoint     AB|PS|PS_r                4620.274430360076    All      -0.40437420358066095       0.49396421661231926        -0.33835208206994816      0.27751927848514574        
Zeropoint     AB|PS|PS_z                6431.345272347584    All      0.7367998781528202         0.049243855220382216       0.7949689942767235        -0.188483801536328         
Check         All|All|All               All                  All      0.9972557343338596         0.9908045614450245         -0.0305378407166379       -0.0034641228231317434     
Lambda        AB|PS|PS_g                3638.20583724316     All      -0.0010944780975959748     0.00032408432465912357     -0.0018309308224307387    0.00038036641680198283     
Lambda        AB|PS|PS_i                5596.152978960464    All      -0.0001909878414304321     -6.793026774513523e-05     -0.0003326734301663405    2.5238212948699755e-05     
Lambda        AB|PS|PS_r                4620.274430360076    All      -0.00021692778026337654    -0.00013464651014289945    -0.0010706238544687839    -2.0975308775813144e-05    
Lambda        AB|PS|PS_z                6431.345272347584    All      9.101324206874824e-05      5.364117835062017e-05      0.0007143362457822157     1.9704235164180937e-05     
MWEBV         All|All|All               All                  All      -0.43849301397374774       -2.708445359894718         0.24436626291962638       -0.7284932142999939        
Redshift      All|All|All               All                  All      4.093583919472447          -0.549120706870454         -11.074728943581247       -2.006495925607014         
