#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3638.20583724316     All      -0.5393752101469068       0.3095742425278658         0.11977932165078767       0.2818759673423227         
Zeropoint     AB|PS|PS_i                5596.152978960464    All      1.062900818522776         0.20199739438861997        -0.6393010435414013       -0.3089536374916378        
Zeropoint     AB|PS|PS_r                4620.274430360076    All      -0.43044913491286657      0.4922900020901011         -0.1357363581904389       0.2945092038862793         
Zeropoint     AB|PS|PS_z                6431.345272347584    All      0.9016525956894554        -0.004277175880673667      0.6595251135531052        -0.265659554076011         
Check         All|All|All               All                  All      0.9947290691524581        0.9995844631259132         0.004267033472052595      0.0017719796609532157      
Lambda        AB|PS|PS_g                3638.20583724316     All      -0.0011123260888247833    0.0005015382293636948      -0.0005313217898633702    0.000501978251784103       
Lambda        AB|PS|PS_i                5596.152978960464    All      -9.463528112432627e-05    3.167424134442944e-06      0.0003396305836981059     4.7013711799807733e-05     
Lambda        AB|PS|PS_r                4620.274430360076    All      -3.83084306544077e-05     -0.00012392251093017645    -0.0007010811367587688    -5.917335374974596e-05     
Lambda        AB|PS|PS_z                6431.345272347584    All      4.9725236718098996e-05    -1.253630822185593e-05     -8.227990459892505e-05    -2.3952407775246794e-05    
MWEBV         All|All|All               All                  All      -0.4340057480388353       -2.7361356163298822        0.06462515623388225       -0.7469955120153111        
Redshift      All|All|All               All                  All      4.995809038058161         0.03730009052773653        -2.9851310529760178       -1.748362182992879         
