#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4980.784115448008     All      -0.0002809350217714557     0.45939513451465075        -0.2866428805584852       0.13694006348531262        
Zeropoint     AB|PS|PS_g                3922.0869054435598    All      -0.6714493247265035        0.5200924607674295         0.5209002470706647        0.4113697457142066         
Zeropoint     AB|PS|PS_i                6032.808285600269     All      0.7849218912753702         -0.02808477082396621       -2.7967213408948792       -0.38962784553808955       
Zeropoint     AB|PS|PS_z                6933.168766551822     All      0.8848395289664791         0.048093386683234485       2.589524218021005         -0.156997174076341         
Check         All|All|All               All                   All      0.9980311604935743         0.9994962111413486         0.027060243638305614      0.001684789585088664       
Lambda        AB|PS|PS_r                4980.784115448008     All      -3.575067321596064e-05     -7.551100315431745e-05     -0.0003158273515066204    -2.7045171692105475e-05    
Lambda        AB|PS|PS_g                3922.0869054435598    All      -0.0006721186878739485     0.0003891112070677442      -0.0007544768952704492    0.00031200865156014374     
Lambda        AB|PS|PS_i                6032.808285600269     All      -0.00017778557195565874    -5.7505525432802865e-06    0.00020321136768941292    6.510585563056288e-05      
Lambda        AB|PS|PS_z                6933.168766551822     All      -0.0005048547148739827     -2.669617006682719e-05     -0.0014699294118111763    9.01557704850242e-05       
MWEBV         All|All|All               All                   All      -0.48208078974358415       -3.060291724899855         0.2312215005523495        -0.829489768593029         
Redshift      All|All|All               All                   All      4.314901749064154          0.20239103679156045        3.3327408985064295        -1.1908551169958346        
