#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4980.784115448008     All      0.05919750966328463       0.5060296778122364         -0.014460793384318826      0.14490261871508148       
Zeropoint     AB|PS|PS_g                3922.0869054435598    All      -0.7372464538651515       0.47531939902913933        -0.013075166862541732      0.3943891058743071        
Zeropoint     AB|PS|PS_i                6032.808285600269     All      0.8125528664492556        -0.02822706111267337       -2.3982561936524758        -0.380892842375348        
Zeropoint     AB|PS|PS_z                6933.168766551822     All      0.8652405636300554        0.045897437338382474       2.4605690400794855         -0.15708311654748647      
Check         All|All|All               All                   All      0.9997444858774442        0.9990194530670848         0.03477688618014918        0.001315765666554114      
Lambda        AB|PS|PS_r                4980.784115448008     All      -3.763195025885833e-05    -0.00013183216561312076    -0.00023812199301453168    -4.131040012939846e-05    
Lambda        AB|PS|PS_g                3922.0869054435598    All      -0.0005637742557352235    0.00024789313242627        -0.0011329361924196921     0.00021382903250814192    
Lambda        AB|PS|PS_i                6032.808285600269     All      -0.0002546147316112143    4.31017999853438e-06       0.0006033038234159378      0.00011126304085268149    
Lambda        AB|PS|PS_z                6933.168766551822     All      -0.000506137739644153     -2.5223519377274003e-05    -0.0014154541460072833     9.348436555826747e-05     
MWEBV         All|All|All               All                   All      -0.48679343942258546      -3.054662357596527         0.2533076098018505         -0.8251354318016574       
Redshift      All|All|All               All                   All      4.17854576130803          0.5975574409941231         -0.22524662125015804       -1.1764974291287227       
