#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3724.19979339618     All      -0.1587470512139475        0.12058281429734308        -0.09179878046992052      0.08689036892081808        
Zeropoint     AB|PS|PS_z                6583.358887875798    All      2.392323253048583          -1.0477227102880349        0.29079494182577825       -1.1075593017284973        
Zeropoint     AB|PS|PS_i                5728.425685735892    All      -0.686934337425041         1.341097518376344          -0.5268357869621765       0.6370864341979046         
Zeropoint     AB|PS|PS_r                4729.480916895858    All      -0.5707796741212217        0.6025586627842472         0.3259978900656657        0.3967426865942883         
Check         All|All|All               All                  All      0.9758621902883732         1.0165162851698994         -0.0018417355406530334    0.013160187984513627       
Lambda        AB|PS|PS_g                3724.19979339618     All      -0.00014531566328047276    0.00016368499560219117     0.0002219298260863924     0.00011055538926921815     
Lambda        AB|PS|PS_z                6583.358887875798    All      -0.0012696562504518716     0.0006091189661593711      8.491325936146649e-06     0.0006123578267962525      
Lambda        AB|PS|PS_i                5728.425685735892    All      0.00025125987516504643     -0.00042808250488314005    0.000931973047467802      -0.00017969448617104157    
Lambda        AB|PS|PS_r                4729.480916895858    All      -0.00014730023966708924    8.696352256344141e-05      -0.0003411658860872457    6.108274782950424e-05      
MWEBV         All|All|All               All                  All      -0.42079585368051076       -2.8763046586606222        -0.0477947055220751       -0.8019728598164938        
Redshift      All|All|All               All                  All      -1.2459086458347455        2.860982688611813          -7.802118113637624        0.9895769227616299         
