#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3724.19979339618     All      -0.18446607868223042       0.13957601428060684        -0.06838427353479044       0.10249949429595145        
Zeropoint     AB|PS|PS_z                6583.358887875798    All      1.9234219507932282         -0.6559300220310149        0.48381468395919397        -0.8185893684435941        
Zeropoint     AB|PS|PS_i                5728.425685735892    All      -0.11589805250518892       0.8420292576445831         -0.8316654787264215        0.27491502917402355        
Zeropoint     AB|PS|PS_r                4729.480916895858    All      -0.6404260632521201        0.6851587032723927         0.4213567975986791         0.45058978755554785        
Check         All|All|All               All                  All      0.9826317563536892         1.0108339531665678         0.005121729296661159       0.00941494258192871        
Lambda        AB|PS|PS_g                3724.19979339618     All      -0.0003766494141615034     0.00028503696891678303     -0.00013822130673596763    0.00020936484171187584     
Lambda        AB|PS|PS_z                6583.358887875798    All      -0.001170524573379204      0.00033299666612219783     -0.0007495909588553089     0.00045629553033818386     
Lambda        AB|PS|PS_i                5728.425685735892    All      2.9400918342040335e-05     -0.00033211814520669883    0.00032209345765169467     -0.00010338510092848764    
Lambda        AB|PS|PS_r                4729.480916895858    All      -0.00014080073279030208    8.468301841867273e-05      -0.00025021848735662735    6.228137408505435e-05      
MWEBV         All|All|All               All                  All      -0.4323733915194108        -2.8595437891393516        -0.006992261029669876      -0.7909212825345294        
Redshift      All|All|All               All                  All      1.7805419559651376         2.543087115451037          -2.1583478974833383        0.15206889170380528        
