#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3439.1658928802003    All      -0.7344225007841896        0.2024660249755783         -0.38387956800221007       0.2880446335320733        
Zeropoint     AB|PS|PS_i                5289.997135281502     All      1.0257871082920091         0.2912078012057506         -0.6476222607108186        -0.2681770543334335       
Zeropoint     AB|PS|PS_z                6079.497503845008     All      0.6112659512531623         0.07665998556429798        0.08500107783827243        -0.17034554333062576      
Zeropoint     AB|PS|PS_r                4367.507213028217     All      0.09140339477608184        0.4280033344821632         0.9442461784172916         0.15177904434829004       
Check         All|All|All               All                   All      0.9940339535370638         0.9983371462277901         -0.002254572457464632      0.0013010802163041235     
Lambda        AB|PS|PS_g                3439.1658928802003    All      -0.0009270660619957853     0.00025247673356619185     -0.000671128006466802      0.00035426653377069225    
Lambda        AB|PS|PS_i                5289.997135281502     All      0.0001680305133905233      5.8284798192865224e-05     -0.0019814167265108707     -0.0001241693181529796    
Lambda        AB|PS|PS_z                6079.497503845008     All      -0.0001048738276239122     -2.0511422449832637e-05    -0.00018826135315911868    1.9078371267518017e-05    
Lambda        AB|PS|PS_r                4367.507213028217     All      -0.00013324771763168538    -8.821916506644893e-05     -0.001104127171512251      -3.460484362603972e-05    
MWEBV         All|All|All               All                   All      -0.5457592259040249        -2.4947052607307896        -0.15102182041065104       -0.6415752521899101       
Redshift      All|All|All               All                   All      2.916856732320425          -0.057395045892505436      2.651324650831037          -0.8504952120681037       
